ID_REF,GSM546233,GSM546234,GSM546235,GSM546236
10338173,3.45197,3.90265,3.19679,3.55648
10338174,4.77536,4.69559,5.57867,5.38478
10338175,1.71535,1.64982,1.69485,1.60996
10338176,7.13654,7.14137,6.84749,7.1735
10338177,2.40197,1.80658,1.9489,2.23544
10338178,2.47553,2.615,2.39162,2.26382
10338179,8.11478,8.20781,8.44282,8.21389
10338180,8.5483,8.44001,8.47662,8.33773
10338181,2.19619,2.51534,1.90566,1.80931
10338182,2.41146,2.91499,2.48556,2.74873
10338183,2.16098,1.83581,1.83728,1.79949
10338184,3.12361,3.21826,3.0008,3.4361
10338185,2.72484,2.2453,2.31388,1.95466
10338186,2.35579,2.87342,2.49446,2.96894
10338187,4.18929,3.97782,3.37341,3.58529
10338188,4.45137,4.52351,4.76386,4.6948
10338189,3.43944,2.93032,3.22834,3.071
10338190,3.64574,3.38414,3.6065,3.65
10338191,4.02346,3.92437,3.45074,4.76123
10338192,4.22572,3.51697,3.51697,3.32627
10338193,4.13637,4.28956,4.39298,3.87462
10338194,2.9744,3.50324,3.62291,3.2948
10338195,6.64555,6.21534,6.43489,6.69376
10338196,8.41017,8.27046,8.51206,8.25103
10338197,3.66252,3.64564,2.97388,3.28807
10338198,2.49141,3.39466,3.33758,3.83358
10338199,2.00813,2.16423,1.94634,2.08059
10338200,1.97828,3.77881,3.28993,3.18971
10338201,2.21155,3.47464,2.38146,2.9684
10338202,4.98207,5.80042,5.38619,6.25256
10338203,5.91081,6.14083,6.18091,6.27415
10338204,2.52555,3.45398,4.78233,3.88684
10338205,1.83146,2.19367,2.48807,2.38445
10338206,1.32131,1.35345,1.32874,1.476
10338207,1.17295,1.24705,1.09778,1.07024
10338208,4.57433,4.16212,4.07392,4.41309
10338209,5.9352,5.74145,5.12025,5.42009
10338210,5.82113,5.50561,5.07873,5.4074
10338211,4.00889,3.80807,4.1184,3.45713
10338212,2.41028,2.01683,1.9247,1.85298
10338213,7.59839,7.48754,6.81925,7.33007
10338214,7.1416,7.12605,6.8916,6.8851
10338215,2.24993,2.07069,1.77263,2.04255
10338216,3.33283,3.65062,2.76733,3.27915
10338217,4.89047,4.959,5.26589,5.2469
10338218,3.55864,3.60267,3.41578,3.37863
10338219,4.50382,4.33751,3.78988,4.03201
10338220,3.8453,3.23914,3.72064,3.32825
10338221,10.0953,9.92826,9.65229,9.76584
10338222,2.58693,2.50487,2.64962,2.82912
10338223,5.8571,6.02004,5.56685,5.10749
