ensembl_gene_id,gene_biotype
ENSG00000006016,protein_coding
ENSG00000006025,protein_coding
ENSG00000006042,protein_coding
ENSG00000006047,protein_coding
ENSG00000006059,protein_coding
ENSG00000006062,protein_coding
ENSG00000006071,protein_coding
ENSG00000006116,protein_coding
ENSG00000006118,protein_coding
ENSG00000006125,protein_coding
ENSG00000006128,protein_coding
ENSG00000006194,protein_coding
ENSG00000006210,protein_coding
ENSG00000006282,protein_coding
ENSG00000006283,protein_coding
ENSG00000006327,protein_coding
ENSG00000006377,protein_coding
ENSG00000006432,protein_coding
ENSG00000006451,protein_coding
ENSG00000006453,protein_coding
ENSG00000006459,protein_coding
ENSG00000006468,protein_coding
ENSG00000006530,protein_coding
ENSG00000006534,protein_coding
ENSG00000006555,protein_coding
ENSG00000006576,protein_coding
ENSG00000006606,protein_coding
ENSG00000006607,protein_coding
ENSG00000006611,protein_coding
ENSG00000006625,protein_coding
ENSG00000006634,protein_coding
ENSG00000006638,protein_coding
ENSG00000006652,protein_coding
ENSG00000006659,protein_coding
ENSG00000006695,protein_coding
ENSG00000006704,protein_coding
ENSG00000006712,protein_coding
ENSG00000006715,protein_coding
ENSG00000006740,protein_coding
ENSG00000006744,protein_coding
ENSG00000006747,protein_coding
ENSG00000006756,protein_coding
ENSG00000006757,protein_coding
ENSG00000006788,protein_coding
ENSG00000006831,protein_coding
ENSG00000006837,protein_coding
ENSG00000007001,protein_coding
ENSG00000007038,protein_coding
ENSG00000007047,protein_coding
ENSG00000007062,protein_coding
ENSG00000007080,protein_coding
ENSG00000007129,protein_coding
ENSG00000007168,protein_coding
ENSG00000007171,protein_coding
ENSG00000007174,protein_coding
ENSG00000007202,protein_coding
ENSG00000007216,protein_coding
ENSG00000007237,protein_coding
ENSG00000007255,protein_coding
ENSG00000007264,protein_coding
ENSG00000007306,protein_coding
ENSG00000007312,protein_coding
ENSG00000007314,protein_coding
ENSG00000007341,protein_coding
ENSG00000007350,protein_coding
ENSG00000007372,protein_coding
ENSG00000007376,protein_coding
ENSG00000007384,protein_coding
ENSG00000007392,protein_coding
ENSG00000007402,protein_coding
ENSG00000007516,protein_coding
ENSG00000007520,protein_coding
ENSG00000007541,protein_coding
ENSG00000007545,protein_coding
ENSG00000007866,protein_coding
ENSG00000007908,protein_coding
ENSG00000007923,protein_coding
ENSG00000007933,protein_coding
ENSG00000007944,protein_coding
ENSG00000007952,protein_coding
ENSG00000007968,protein_coding
ENSG00000008018,protein_coding
ENSG00000008056,protein_coding
ENSG00000008083,protein_coding
ENSG00000008086,protein_coding
ENSG00000008118,protein_coding
ENSG00000008128,protein_coding
ENSG00000008130,protein_coding
ENSG00000008196,protein_coding
ENSG00000008197,protein_coding
ENSG00000008226,protein_coding
ENSG00000008256,protein_coding
ENSG00000008277,protein_coding
ENSG00000008282,protein_coding
ENSG00000008283,protein_coding
ENSG00000008294,protein_coding
ENSG00000008300,protein_coding
ENSG00000008311,protein_coding
ENSG00000008323,protein_coding
ENSG00000008324,protein_coding
ENSG00000008382,protein_coding
ENSG00000008394,protein_coding
ENSG00000008405,protein_coding
ENSG00000008438,protein_coding
ENSG00000008441,protein_coding
ENSG00000008513,protein_coding
ENSG00000008516,protein_coding
ENSG00000008517,protein_coding
ENSG00000008710,protein_coding
ENSG00000008735,protein_coding
ENSG00000008838,protein_coding
ENSG00000008853,protein_coding
ENSG00000008869,protein_coding
ENSG00000008952,protein_coding
ENSG00000008988,protein_coding
ENSG00000009307,protein_coding
ENSG00000009335,protein_coding
ENSG00000009413,protein_coding
ENSG00000009694,protein_coding
ENSG00000009709,protein_coding
ENSG00000009724,protein_coding
ENSG00000009765,protein_coding
ENSG00000009780,protein_coding
ENSG00000009790,protein_coding
ENSG00000009830,protein_coding
ENSG00000009844,protein_coding
ENSG00000009950,protein_coding
ENSG00000009954,protein_coding
ENSG00000010017,protein_coding
ENSG00000010030,protein_coding
ENSG00000010072,protein_coding
ENSG00000010165,protein_coding
ENSG00000010219,protein_coding
ENSG00000010244,protein_coding
ENSG00000010256,protein_coding
ENSG00000010270,protein_coding
ENSG00000010278,protein_coding
ENSG00000010282,protein_coding
ENSG00000010292,protein_coding
ENSG00000010295,protein_coding
ENSG00000010310,protein_coding
ENSG00000010318,protein_coding
ENSG00000010319,protein_coding
ENSG00000010322,protein_coding
ENSG00000010327,protein_coding
ENSG00000010361,protein_coding
ENSG00000010379,protein_coding
ENSG00000010404,protein_coding
ENSG00000010438,protein_coding
ENSG00000010539,protein_coding
ENSG00000010610,protein_coding
ENSG00000010626,protein_coding
ENSG00000010671,protein_coding
ENSG00000010704,protein_coding
ENSG00000010803,protein_coding
ENSG00000010810,protein_coding
ENSG00000010818,protein_coding
ENSG00000010932,protein_coding
ENSG00000011007,protein_coding
ENSG00000011009,protein_coding
ENSG00000011021,protein_coding
ENSG00000011028,protein_coding
ENSG00000011052,protein_coding
ENSG00000011083,protein_coding
ENSG00000011105,protein_coding
ENSG00000011114,protein_coding
ENSG00000011132,protein_coding
ENSG00000011143,protein_coding
ENSG00000011198,protein_coding
ENSG00000011201,protein_coding
ENSG00000011243,protein_coding
ENSG00000011258,protein_coding
ENSG00000011260,protein_coding
ENSG00000011275,protein_coding
ENSG00000011295,protein_coding
ENSG00000011304,protein_coding
ENSG00000011332,protein_coding
ENSG00000011347,protein_coding
ENSG00000011376,protein_coding
ENSG00000011405,protein_coding
ENSG00000011422,protein_coding
ENSG00000011426,protein_coding
ENSG00000011451,protein_coding
ENSG00000011454,protein_coding
ENSG00000011465,protein_coding
ENSG00000011478,protein_coding
ENSG00000011485,protein_coding
ENSG00000011523,protein_coding
ENSG00000011566,protein_coding
ENSG00000011590,protein_coding
ENSG00000011600,protein_coding
ENSG00000011638,protein_coding
ENSG00000011677,protein_coding
ENSG00000012048,protein_coding
ENSG00000012061,protein_coding
ENSG00000012124,protein_coding
ENSG00000012171,protein_coding
ENSG00000012174,protein_coding
ENSG00000012211,protein_coding
ENSG00000012223,protein_coding
ENSG00000012232,protein_coding
ENSG00000012504,protein_coding
ENSG00000012660,protein_coding
ENSG00000012779,protein_coding
ENSG00000012817,protein_coding
ENSG00000012822,protein_coding
ENSG00000012963,protein_coding
ENSG00000012983,protein_coding
ENSG00000013016,protein_coding
ENSG00000013275,protein_coding
ENSG00000013288,protein_coding
ENSG00000013293,protein_coding
ENSG00000013297,protein_coding
ENSG00000013306,protein_coding
ENSG00000013364,protein_coding
ENSG00000013374,protein_coding
ENSG00000013375,protein_coding
ENSG00000013392,protein_coding
ENSG00000013441,protein_coding
ENSG00000013503,protein_coding
ENSG00000013523,protein_coding
ENSG00000013561,protein_coding
ENSG00000013563,protein_coding
ENSG00000013573,protein_coding
ENSG00000013583,protein_coding
ENSG00000013588,protein_coding
ENSG00000013619,protein_coding
ENSG00000013725,protein_coding
ENSG00000013810,protein_coding
ENSG00000014123,protein_coding
ENSG00000014138,protein_coding
ENSG00000014164,protein_coding
ENSG00000014216,protein_coding
ENSG00000014257,protein_coding
ENSG00000014641,protein_coding
ENSG00000014824,protein_coding
ENSG00000014914,protein_coding
ENSG00000014919,protein_coding
ENSG00000015133,protein_coding
ENSG00000015153,protein_coding
ENSG00000015171,protein_coding
ENSG00000015285,protein_coding
ENSG00000015413,protein_coding
ENSG00000015475,protein_coding
ENSG00000015479,protein_coding
ENSG00000015520,protein_coding
ENSG00000015532,protein_coding
ENSG00000015568,protein_coding
ENSG00000015592,protein_coding
ENSG00000015676,protein_coding
ENSG00000016082,protein_coding
ENSG00000016391,protein_coding
ENSG00000016402,protein_coding
ENSG00000016490,protein_coding
ENSG00000016602,protein_coding
ENSG00000016864,protein_coding
ENSG00000017260,protein_coding
ENSG00000017427,protein_coding
ENSG00000017483,protein_coding
ENSG00000017797,protein_coding
ENSG00000018189,protein_coding
ENSG00000018236,protein_coding
ENSG00000018280,protein_coding
ENSG00000018408,protein_coding
ENSG00000018510,protein_coding
ENSG00000018607,unprocessed_pseudogene
ENSG00000018610,protein_coding
ENSG00000018625,protein_coding
ENSG00000018699,protein_coding
ENSG00000018869,protein_coding
ENSG00000019102,protein_coding
ENSG00000019144,protein_coding
ENSG00000019169,protein_coding
ENSG00000019186,protein_coding
ENSG00000019485,protein_coding
ENSG00000019505,protein_coding
ENSG00000019549,protein_coding
ENSG00000019582,protein_coding
ENSG00000019991,protein_coding
ENSG00000019995,protein_coding
ENSG00000020129,protein_coding
ENSG00000020181,protein_coding
ENSG00000020219,processed_pseudogene
ENSG00000020256,protein_coding
ENSG00000020426,protein_coding
ENSG00000020577,protein_coding
ENSG00000020633,protein_coding
ENSG00000020922,protein_coding
ENSG00000021300,protein_coding
ENSG00000021355,protein_coding
ENSG00000021461,protein_coding
ENSG00000021488,protein_coding
ENSG00000021574,protein_coding
ENSG00000021645,protein_coding
ENSG00000021762,protein_coding
ENSG00000021776,protein_coding
ENSG00000021826,protein_coding
ENSG00000021852,protein_coding
ENSG00000022267,protein_coding
ENSG00000022277,protein_coding
ENSG00000022355,protein_coding
ENSG00000022556,protein_coding
ENSG00000022567,protein_coding
ENSG00000022840,protein_coding
ENSG00000022976,protein_coding
ENSG00000023041,protein_coding
ENSG00000023171,protein_coding
ENSG00000023191,protein_coding
ENSG00000023228,protein_coding
ENSG00000023287,protein_coding
ENSG00000023318,protein_coding
ENSG00000023330,protein_coding
ENSG00000023445,protein_coding
ENSG00000023516,protein_coding
ENSG00000023572,protein_coding
ENSG00000023608,protein_coding
ENSG00000023697,protein_coding
ENSG00000023734,protein_coding
ENSG00000023839,protein_coding
ENSG00000023892,protein_coding
ENSG00000023902,protein_coding
ENSG00000023909,protein_coding
ENSG00000024048,protein_coding
ENSG00000024422,protein_coding
ENSG00000024526,protein_coding
ENSG00000024862,protein_coding
ENSG00000025039,protein_coding
ENSG00000025156,protein_coding
ENSG00000025293,protein_coding
ENSG00000025423,protein_coding
ENSG00000025434,protein_coding
ENSG00000025708,protein_coding
ENSG00000025770,protein_coding
ENSG00000025772,protein_coding
ENSG00000025796,protein_coding
ENSG00000025800,protein_coding
ENSG00000026025,protein_coding
ENSG00000026036,protein_coding
ENSG00000026103,protein_coding
ENSG00000026297,protein_coding
ENSG00000026508,protein_coding
ENSG00000026559,protein_coding
ENSG00000026652,protein_coding
ENSG00000026751,protein_coding
ENSG00000026950,protein_coding
ENSG00000027001,protein_coding
ENSG00000027075,protein_coding
ENSG00000027644,protein_coding
ENSG00000027697,protein_coding
ENSG00000027847,protein_coding
ENSG00000027869,protein_coding
ENSG00000028116,protein_coding
ENSG00000028137,protein_coding
ENSG00000028203,protein_coding
ENSG00000028277,protein_coding
ENSG00000028310,protein_coding
ENSG00000028528,protein_coding
ENSG00000028839,protein_coding
ENSG00000029153,protein_coding
ENSG00000029363,protein_coding
ENSG00000029364,protein_coding
ENSG00000029534,protein_coding
ENSG00000029559,protein_coding
ENSG00000029639,protein_coding
ENSG00000029725,protein_coding
ENSG00000029993,protein_coding
ENSG00000030066,protein_coding
ENSG00000030110,protein_coding
ENSG00000030304,protein_coding
ENSG00000030419,protein_coding
ENSG00000030582,protein_coding
ENSG00000031003,protein_coding
ENSG00000031081,protein_coding
ENSG00000031691,protein_coding
ENSG00000031698,protein_coding
ENSG00000031823,protein_coding
ENSG00000032219,protein_coding
ENSG00000032389,protein_coding
ENSG00000032444,protein_coding
ENSG00000032742,protein_coding
ENSG00000033011,protein_coding
ENSG00000033030,protein_coding
ENSG00000033050,protein_coding
ENSG00000033100,protein_coding
ENSG00000033122,protein_coding
ENSG00000033170,protein_coding
ENSG00000033178,protein_coding
ENSG00000033327,protein_coding
ENSG00000033627,protein_coding
ENSG00000033800,protein_coding
ENSG00000033867,protein_coding
ENSG00000034053,protein_coding
ENSG00000034152,protein_coding
ENSG00000034239,protein_coding
ENSG00000034510,protein_coding
ENSG00000034533,protein_coding
ENSG00000034677,protein_coding
ENSG00000034693,protein_coding
ENSG00000034713,protein_coding
ENSG00000034971,protein_coding
ENSG00000035115,protein_coding
ENSG00000035141,protein_coding
ENSG00000035403,protein_coding
ENSG00000035499,protein_coding
ENSG00000035664,protein_coding
ENSG00000035681,protein_coding
ENSG00000035687,protein_coding
ENSG00000035720,protein_coding
ENSG00000035862,protein_coding
ENSG00000035928,protein_coding
ENSG00000036054,protein_coding
ENSG00000036257,protein_coding
ENSG00000036448,protein_coding
ENSG00000036473,protein_coding
ENSG00000036530,protein_coding
ENSG00000036549,protein_coding
ENSG00000036565,protein_coding
ENSG00000036672,protein_coding
ENSG00000036828,protein_coding
ENSG00000037042,protein_coding
ENSG00000037241,protein_coding
ENSG00000037280,protein_coding
ENSG00000037474,protein_coding
ENSG00000037637,protein_coding
ENSG00000037749,protein_coding
ENSG00000037757,protein_coding
ENSG00000037897,protein_coding
ENSG00000037965,protein_coding
ENSG00000038002,protein_coding
ENSG00000038210,protein_coding
ENSG00000038219,protein_coding
ENSG00000038274,protein_coding
ENSG00000038295,protein_coding
ENSG00000038358,protein_coding
ENSG00000038382,protein_coding
ENSG00000038427,protein_coding
ENSG00000038532,protein_coding
ENSG00000038945,protein_coding
ENSG00000039068,protein_coding
ENSG00000039123,protein_coding
ENSG00000039139,protein_coding
ENSG00000039319,protein_coding
ENSG00000039523,protein_coding
ENSG00000039537,protein_coding
ENSG00000039560,protein_coding
ENSG00000039600,protein_coding
ENSG00000039650,protein_coding
ENSG00000039987,protein_coding
ENSG00000040199,protein_coding
ENSG00000040275,protein_coding
ENSG00000040341,protein_coding
ENSG00000040487,protein_coding
ENSG00000040531,protein_coding
ENSG00000040608,protein_coding
ENSG00000040633,protein_coding
ENSG00000040731,protein_coding
ENSG00000040933,protein_coding
ENSG00000041353,protein_coding
ENSG00000041357,protein_coding
ENSG00000041515,protein_coding
ENSG00000041802,protein_coding
ENSG00000041880,protein_coding
ENSG00000041982,protein_coding
ENSG00000041988,protein_coding
ENSG00000042062,protein_coding
ENSG00000042088,protein_coding
ENSG00000042286,protein_coding
ENSG00000042304,protein_coding
ENSG00000042317,protein_coding
ENSG00000042429,protein_coding
ENSG00000042445,protein_coding
ENSG00000042493,protein_coding
ENSG00000042753,protein_coding
ENSG00000042781,protein_coding
ENSG00000042813,protein_coding
ENSG00000042832,protein_coding
ENSG00000042980,protein_coding
ENSG00000043039,protein_coding
ENSG00000043093,protein_coding
ENSG00000043143,protein_coding
ENSG00000043355,protein_coding
ENSG00000043462,protein_coding
ENSG00000043514,protein_coding
ENSG00000043591,protein_coding
ENSG00000044012,protein_coding
ENSG00000044090,protein_coding
ENSG00000044115,protein_coding
ENSG00000044446,protein_coding
ENSG00000044459,protein_coding
ENSG00000044524,protein_coding
ENSG00000044574,protein_coding
ENSG00000046604,protein_coding
ENSG00000046647,protein_coding
ENSG00000046651,protein_coding
ENSG00000046653,protein_coding
ENSG00000046774,protein_coding
ENSG00000046889,protein_coding
ENSG00000047056,protein_coding
ENSG00000047188,protein_coding
ENSG00000047230,protein_coding
ENSG00000047249,protein_coding
ENSG00000047315,protein_coding
ENSG00000047346,protein_coding
ENSG00000047365,protein_coding
ENSG00000047410,protein_coding
ENSG00000047457,protein_coding
ENSG00000047578,protein_coding
ENSG00000047579,protein_coding
ENSG00000047597,protein_coding
ENSG00000047617,protein_coding
ENSG00000047621,protein_coding
ENSG00000047634,protein_coding
ENSG00000047644,protein_coding
ENSG00000047648,protein_coding
ENSG00000047662,protein_coding
ENSG00000047849,protein_coding
ENSG00000047932,protein_coding
ENSG00000047936,protein_coding
ENSG00000048028,protein_coding
ENSG00000048052,protein_coding
ENSG00000048140,protein_coding
ENSG00000048162,protein_coding
ENSG00000048342,protein_coding
ENSG00000048392,protein_coding
ENSG00000048405,protein_coding
ENSG00000048462,protein_coding
ENSG00000048471,protein_coding
ENSG00000048540,protein_coding
ENSG00000048544,protein_coding
ENSG00000048545,protein_coding
ENSG00000048649,protein_coding
ENSG00000048707,protein_coding
ENSG00000048740,protein_coding
ENSG00000048828,protein_coding
ENSG00000048991,protein_coding
ENSG00000049089,protein_coding
ENSG00000049130,protein_coding
ENSG00000049167,protein_coding
ENSG00000049192,protein_coding
ENSG00000049239,protein_coding
ENSG00000049245,protein_coding
ENSG00000049246,protein_coding
ENSG00000049247,protein_coding
ENSG00000049249,protein_coding
ENSG00000049283,protein_coding
ENSG00000049323,protein_coding
ENSG00000049449,protein_coding
ENSG00000049540,protein_coding
ENSG00000049541,protein_coding
ENSG00000049618,protein_coding
ENSG00000049656,protein_coding
ENSG00000049759,protein_coding
ENSG00000049768,protein_coding
ENSG00000049769,protein_coding
ENSG00000049860,protein_coding
ENSG00000049883,protein_coding
ENSG00000050030,protein_coding
ENSG00000050130,protein_coding
ENSG00000050165,protein_coding
ENSG00000050327,protein_coding
ENSG00000050344,protein_coding
ENSG00000050393,protein_coding
ENSG00000050405,protein_coding
ENSG00000050426,protein_coding
ENSG00000050438,protein_coding
ENSG00000050555,protein_coding
ENSG00000050628,protein_coding
ENSG00000050730,protein_coding
ENSG00000050748,protein_coding
ENSG00000050767,protein_coding
ENSG00000050820,protein_coding
ENSG00000051009,protein_coding
ENSG00000051108,protein_coding
ENSG00000051128,protein_coding
ENSG00000051180,protein_coding
ENSG00000051341,protein_coding
ENSG00000051382,protein_coding
ENSG00000051523,protein_coding
ENSG00000051596,protein_coding
ENSG00000051620,protein_coding
ENSG00000051825,protein_coding
ENSG00000052126,protein_coding
ENSG00000052344,protein_coding
ENSG00000052723,protein_coding
ENSG00000052749,protein_coding
ENSG00000052795,protein_coding
ENSG00000052802,protein_coding
ENSG00000052841,protein_coding
ENSG00000052850,protein_coding
ENSG00000053108,protein_coding
ENSG00000053254,protein_coding
ENSG00000053328,protein_coding
ENSG00000053371,protein_coding
ENSG00000053372,protein_coding
ENSG00000053438,protein_coding
ENSG00000053501,protein_coding
ENSG00000053524,protein_coding
ENSG00000053702,protein_coding
ENSG00000053747,protein_coding
ENSG00000053770,protein_coding
ENSG00000053900,protein_coding
ENSG00000053918,protein_coding
ENSG00000054116,protein_coding
ENSG00000054118,protein_coding
ENSG00000054148,protein_coding
ENSG00000054179,protein_coding
ENSG00000054219,protein_coding
ENSG00000054267,protein_coding
ENSG00000054277,protein_coding
ENSG00000054282,protein_coding
ENSG00000054356,protein_coding
ENSG00000054392,protein_coding
ENSG00000054523,protein_coding
ENSG00000054598,protein_coding
ENSG00000054611,protein_coding
ENSG00000054654,protein_coding
ENSG00000054690,protein_coding
ENSG00000054793,protein_coding
ENSG00000054796,protein_coding
ENSG00000054803,protein_coding
ENSG00000054938,protein_coding
ENSG00000054965,protein_coding
ENSG00000054967,protein_coding
ENSG00000054983,protein_coding
ENSG00000055044,protein_coding
ENSG00000055070,protein_coding
ENSG00000055118,protein_coding
ENSG00000055130,protein_coding
ENSG00000055147,protein_coding
ENSG00000055163,protein_coding
ENSG00000055208,protein_coding
ENSG00000055211,protein_coding
ENSG00000055332,protein_coding
ENSG00000055483,protein_coding
ENSG00000055609,protein_coding
ENSG00000055732,protein_coding
ENSG00000055813,protein_coding
ENSG00000055917,protein_coding
ENSG00000055950,protein_coding
ENSG00000055955,protein_coding
ENSG00000055957,protein_coding
ENSG00000056050,protein_coding
ENSG00000056097,protein_coding
ENSG00000056277,protein_coding
ENSG00000056291,protein_coding
ENSG00000056487,protein_coding
ENSG00000056558,protein_coding
ENSG00000056586,protein_coding
ENSG00000056736,protein_coding
ENSG00000056972,protein_coding
ENSG00000056998,protein_coding
ENSG00000057019,protein_coding
ENSG00000057149,protein_coding
ENSG00000057252,protein_coding
ENSG00000057294,protein_coding
ENSG00000057468,protein_coding
ENSG00000057593,protein_coding
ENSG00000057608,protein_coding
ENSG00000057657,protein_coding
ENSG00000057663,protein_coding
ENSG00000057704,protein_coding
ENSG00000057757,protein_coding
ENSG00000057935,protein_coding
ENSG00000058056,protein_coding
ENSG00000058063,protein_coding
ENSG00000058085,protein_coding
ENSG00000058091,protein_coding
ENSG00000058262,protein_coding
ENSG00000058272,protein_coding
ENSG00000058335,protein_coding
ENSG00000058404,protein_coding
ENSG00000058453,protein_coding
ENSG00000058600,protein_coding
ENSG00000058668,protein_coding
ENSG00000058673,protein_coding
ENSG00000058729,protein_coding
ENSG00000058799,protein_coding
ENSG00000058804,protein_coding
ENSG00000058866,protein_coding
ENSG00000059122,protein_coding
ENSG00000059145,protein_coding
ENSG00000059377,protein_coding
ENSG00000059378,protein_coding
ENSG00000059573,protein_coding
ENSG00000059588,protein_coding
ENSG00000059691,protein_coding
ENSG00000059728,protein_coding
ENSG00000059758,protein_coding
ENSG00000059769,protein_coding
ENSG00000059804,protein_coding
ENSG00000059915,protein_coding
ENSG00000060069,protein_coding
ENSG00000060138,protein_coding
ENSG00000060140,protein_coding
ENSG00000060237,protein_coding
ENSG00000060303,processed_pseudogene
ENSG00000060339,protein_coding
ENSG00000060491,protein_coding
ENSG00000060558,protein_coding
ENSG00000060566,protein_coding
ENSG00000060642,protein_coding
ENSG00000060656,protein_coding
ENSG00000060688,protein_coding
ENSG00000060709,protein_coding
ENSG00000060718,protein_coding
ENSG00000060749,protein_coding
ENSG00000060762,protein_coding
ENSG00000060971,protein_coding
ENSG00000060982,protein_coding
ENSG00000061273,protein_coding
ENSG00000061337,protein_coding
ENSG00000061455,protein_coding
ENSG00000061492,protein_coding
ENSG00000061656,protein_coding
ENSG00000061676,protein_coding
ENSG00000061794,protein_coding
ENSG00000061918,protein_coding
ENSG00000061936,protein_coding
ENSG00000061938,protein_coding
ENSG00000061987,protein_coding
ENSG00000062038,protein_coding
ENSG00000062096,protein_coding
ENSG00000062194,protein_coding
ENSG00000062282,protein_coding
ENSG00000062370,protein_coding
ENSG00000062485,protein_coding
ENSG00000062524,protein_coding
ENSG00000062582,protein_coding
ENSG00000062598,protein_coding
ENSG00000062650,protein_coding
ENSG00000062716,protein_coding
ENSG00000062725,protein_coding
ENSG00000062822,protein_coding
ENSG00000063015,protein_coding
ENSG00000063046,protein_coding
ENSG00000063127,protein_coding
ENSG00000063169,protein_coding
ENSG00000063176,protein_coding
ENSG00000063177,protein_coding
ENSG00000063180,protein_coding
ENSG00000063241,protein_coding
ENSG00000063244,protein_coding
ENSG00000063245,protein_coding
ENSG00000063322,protein_coding
ENSG00000063438,protein_coding
ENSG00000063515,protein_coding
ENSG00000063587,protein_coding
ENSG00000063601,protein_coding
ENSG00000063660,protein_coding
ENSG00000063761,protein_coding
ENSG00000063854,protein_coding
ENSG00000063978,protein_coding
ENSG00000064012,protein_coding
ENSG00000064042,protein_coding
ENSG00000064102,protein_coding
ENSG00000064115,protein_coding
ENSG00000064195,protein_coding
ENSG00000064199,protein_coding
ENSG00000064201,protein_coding
ENSG00000064205,protein_coding
ENSG00000064218,protein_coding
ENSG00000064225,protein_coding
ENSG00000064270,protein_coding
ENSG00000064300,protein_coding
ENSG00000064309,protein_coding
ENSG00000064313,protein_coding
ENSG00000064393,protein_coding
ENSG00000064419,protein_coding
ENSG00000064489,protein_coding
ENSG00000064490,protein_coding
ENSG00000064545,protein_coding
ENSG00000064547,protein_coding
ENSG00000064601,protein_coding
ENSG00000064607,protein_coding
ENSG00000064651,protein_coding
ENSG00000064652,protein_coding
ENSG00000064655,protein_coding
ENSG00000064666,protein_coding
ENSG00000064687,protein_coding
ENSG00000064692,protein_coding
ENSG00000064703,protein_coding
ENSG00000064726,protein_coding
ENSG00000064763,protein_coding
ENSG00000064787,protein_coding
ENSG00000064835,protein_coding
ENSG00000064886,protein_coding
ENSG00000064932,protein_coding
ENSG00000064933,protein_coding
ENSG00000064961,protein_coding
ENSG00000064989,protein_coding
ENSG00000064995,protein_coding
ENSG00000064999,protein_coding
ENSG00000065000,protein_coding
ENSG00000065029,protein_coding
ENSG00000065054,protein_coding
ENSG00000065057,protein_coding
ENSG00000065060,protein_coding
ENSG00000065135,protein_coding
ENSG00000065150,protein_coding
ENSG00000065154,protein_coding
ENSG00000065183,protein_coding
ENSG00000065243,protein_coding
ENSG00000065268,protein_coding
ENSG00000065308,protein_coding
ENSG00000065320,protein_coding
ENSG00000065325,protein_coding
ENSG00000065328,protein_coding
ENSG00000065357,protein_coding
ENSG00000065361,protein_coding
ENSG00000065371,protein_coding
ENSG00000065413,protein_coding
ENSG00000065427,protein_coding
ENSG00000065457,protein_coding
