Array_Data_File	CELL_NAME
5500994158987071513202_D09.cel	GCT
5500994158987071513207_D09.cel	SNU-475
5500994158987071513201_D09.cel	NCI-H146
5500994172383112813930_D09.cel	OVCAR-4
5500994172948120113978_D09.cel	TYK-nu
5500994157493061613625_D10.cel	COLO-800
5500994158987071513209_D10.cel	D-502MG
5500994172383112813929_D10.cel	HTC-C3
5500994158987071513202_D10.cel	GI-ME-N
5500994158987071513207_D10.cel	SUP-B15
5500994172383112813928_D10.cel	JJN-3
5500994158987071513201_D10.cel	QGP-1
5500994172383112813930_D10.cel	OACp4C
5500994172948120113978_D10.cel	SUP-HD1
5500994157493061613625_D11.cel	BT-474
5500994158987071513209_D11.cel	DU-145
5500994172383112813929_D11.cel	HCC-78
5500994158987071513207_D11.cel	SK-OV-3
5500994172383112813928_D11.cel	J-RT3-T3-5
5500994158987071513201_D11.cel	OPM-2
5500994172383112813930_D11.cel	SN12C
5500994172948120113978_D11.cel	SK-CO-1
5500994157493061613625_D12.cel	Saos-2
5500994172383112813929_D12.cel	HCC-15
5500994158987071513202_D12.cel	MEC-2
5500994158987071513207_D12.cel	ST486
5500994172383112813928_D12.cel	IA-LM
5500994158987071513201_D12.cel	OVMIU
5500994172383112813930_D12.cel	SCC-25
5500994173212120213068_E01.cel	SNU-C5
5500994157493061613625_E01.cel	NCI-H838
5500994158987071513209_E01.cel	769-P
5500994172383112813929_E01.cel	EB-3
5500994158987071513207_E01.cel	ML-2
5500994172383112813928_E01.cel	SBC-5
5500994158987071513201_E01.cel	RCM-1
5500994172383112813930_E01.cel	NCI-H1693
5500994172948120113978_E01.cel	EJM
5500994173212120213068_E02.cel	SK-N-DZ
5500994157493061613625_E02.cel	NCI-H2228
5500994158987071513209_E02.cel	A4-Fuk
5500994172383112813929_E02.cel	A498
5500994158987071513202_E02.cel	KS-1
5500994158987071513207_E02.cel	MHH-PREB-1
5500994172383112813928_E02.cel	SR
5500994158987071513201_E02.cel	RERF-LC-MS
5500994172383112813930_E02.cel	NCI-H2444
5500994172948120113978_E02.cel	CL-40
5500994173212120213068_E03.cel	SACC-83
5500994157493061613625_E03.cel	LS-411N
5500994158987071513209_E03.cel	ARH-77
5500994172383112813929_E03.cel	BB65-RCC
5500994158987071513202_E03.cel	KMRC-1
5500994158987071513207_E03.cel	U-266
5500994172383112813928_E03.cel	SK-MG-1
5500994158987071513201_E03.cel	RPMI-2650
5500994172383112813930_E03.cel	NCI-H520
5500994172948120113978_E03.cel	JHOS-4
5500994173212120213068_E04.cel	RCC-FG2
5500994157493061613625_E04.cel	RKO
5500994158987071513209_E04.cel	BFTC-909
5500994172383112813929_E04.cel	CCRF-CEM
5500994158987071513202_E04.cel	KOSC-2
5500994158987071513207_E04.cel	VAL
5500994172383112813928_E04.cel	SKG-IIIa
5500994158987071513201_E04.cel	QIMR-WIL
5500994172383112813930_E04.cel	NCI-H526
5500994172948120113978_E04.cel	Caov-4
5500994173212120213068_E05.cel	KASUMI-1
5500994157493061613625_E05.cel	RPMI-7951
5500994158987071513209_E05.cel	BV-173
5500994172383112813929_E05.cel	D-542MG
5500994158987071513202_E05.cel	LU-135
5500994158987071513207_E05.cel	WM35
5500994172383112813928_E05.cel	KNS-62
5500994158987071513201_E05.cel	PC-3
5500994172383112813930_E05.cel	NCI-H929
5500994173212120213068_E06.cel	CHP-126
5500994157493061613625_E06.cel	CAL-54
5500994158987071513209_E06.cel	Calu-6
5500994172383112813929_E06.cel	EW-3
5500994158987071513202_E06.cel	LS-513
5500994158987071513207_E06.cel	U031
5500994158987071513201_E06.cel	PL18
5500994172383112813930_E06.cel	NAMALWA
5500994172948120113978_E06.cel	NCI-H1836
5500994173212120213068_E07.cel	PC-3
5500994157493061613625_E07.cel	WM-115
5500994158987071513209_E07.cel	C-33-A
5500994172383112813929_E07.cel	EMC-BAC-2
5500994158987071513202_E07.cel	LNZTA3WT4
5500994158987071513207_E07.cel	TE-11
5500994172383112813928_E07.cel	H4
5500994158987071513201_E07.cel	NCI-H1092
5500994172383112813930_E07.cel	NKM-1
5500994172948120113978_E07.cel	huH-1
5500994173212120213068_E08.cel	NCI-H2066
5500994157493061613625_E08.cel	NCI-H2009
5500994158987071513209_E08.cel	COLO-792
5500994172383112813929_E08.cel	HuCCT1
5500994158987071513207_E08.cel	T-T
5500994172383112813928_E08.cel	HT55
5500994158987071513201_E08.cel	NCI-H1573
5500994172383112813930_E08.cel	NB13
5500994172948120113978_E08.cel	HCC1143
5500994173212120213068_E09.cel	SW156
5500994157493061613625_E09.cel	ES3
5500994158987071513209_E09.cel	COR-L23
5500994172383112813929_E09.cel	HCC1187
5500994158987071513202_E09.cel	G-361
5500994158987071513207_E09.cel	SU-DHL-8
5500994172383112813928_E09.cel	SK-MM-2
5500994158987071513201_E09.cel	NCI-H1651
5500994172383112813930_E09.cel	OVCAR-3
5500994172948120113978_E09.cel	MOG-G-CCM
5500994157493061613625_E10.cel	COLO-741
5500994158987071513209_E10.cel	Daoy
5500994172383112813929_E10.cel	HCC2157
5500994158987071513202_E10.cel	GR-ST
5500994158987071513207_E10.cel	SK-MEL-24
5500994172383112813928_E10.cel	JiyoyeP-2003
5500994158987071513201_E10.cel	RKN
5500994172383112813930_E10.cel	NCI-H1694
5500994172948120113978_E10.cel	OV-17R
5500994157493061613625_E11.cel	D-283MED
5500994158987071513209_E11.cel	DoTc2-4510
5500994172383112813929_E11.cel	Hs746T
5500994158987071513202_E11.cel	MOLT-16
5500994158987071513207_E11.cel	SW837
5500994172383112813928_E11.cel	JHH-6
5500994158987071513201_E11.cel	OSC-20
5500994172383112813930_E11.cel	SW1116
5500994172948120113978_E11.cel	BICR10
5500994158987071513209_E12.cel	ES-2
5500994172383112813929_E12.cel	HCC1954
5500994158987071513202_E12.cel	Mewo
5500994158987071513207_E12.cel	T-24
5500994172383112813928_E12.cel	IM-95
5500994158987071513201_E12.cel	PSN1
5500994172383112813930_E12.cel	SNU-C2B
5500994173212120213068_F01.cel	SU-DHL-5
5500994157493061613625_F01.cel	639-V
5500994158987071513209_F01.cel	8305C
5500994172383112813929_F01.cel	EPLC-272H
5500994158987071513202_F01.cel	KYSE-70
5500994158987071513207_F01.cel	MRK-nu-1
5500994172383112813928_F01.cel	SCC-15
5500994172383112813930_F01.cel	NCI-H2135
5500994172948120113978_F01.cel	NCI-H1435
5500994173212120213068_F02.cel	SK-N-AS
5500994157493061613625_F02.cel	OE19
