fileName,targetName
ENCFF239GPP.bed.gz,SUPV3L1
ENCFF323PUC.bed.gz,AQR
ENCFF783INO.bed.gz,UTP18
ENCFF327DLL.bed.gz,GRWD1
ENCFF771QAU.bed.gz,KHSRP
ENCFF900IOH.bed.gz,PCBP1
ENCFF687EQE.bed.gz,UPF1
ENCFF665BGJ.bed.gz,CPEB4
ENCFF232WUE.bed.gz,SAFB
ENCFF634UAC.bed.gz,EIF3G
