probe_id	entrezgene_id
1556505_at	100131366
1556026_at	100131434
223783_s_at	100131454
1558477_at	100131496
221186_at	100131532
223896_at	100131561
227074_at	100131564
1569832_at	100131655
216050_at	100131689
1568864_at	100131691
228675_at	100131733
227444_at	100131755
1564399_a_at	100131755
1557726_at	100131755
1552327_at	100131755
207799_x_at	100131755
226006_at	100131801
1561106_at	100131814
1554763_at	100131816
217442_at	100131825
229986_at	100131827
235236_at	100131897
238412_at	100131998
230837_at	100132057
239657_x_at	100132074
1556844_at	100132078
230428_at	100132111
1564257_at	100132116
232448_at	100132234
219442_at	100132341
1564012_at	100132354
1558310_s_at	100132356
234685_x_at	100132386
240441_at	100132464
216810_at	100132476
1569644_at	100132570
1563420_at	100132596
231030_at	100132618
1564131_a_at	100132677
1555180_at	100132686
1569898_a_at	100132707
1558527_at	100132707
1557161_at	100132735
227234_at	100132815
228438_at	100132891
1556754_at	100132987
232300_at	100133190
1568854_at	100133205
1557672_s_at	100133308
1561482_at	100133308
239915_at	100133311
224110_at	100133319
1560911_at	100133461
1569895_at	100133612
209772_s_at	100133941
208651_x_at	100133941
216379_x_at	100133941
209771_x_at	100133941
266_s_at	100133941
230325_at	100133985
1557783_at	100133991
232579_at	100134229
230799_at	100134259
1569270_at	100134368
222090_at	100134713
222256_s_at	100137047
202455_at	10014
229408_at	10014
236981_at	100141515
231760_at	100144596
1557892_at	100144597
1557893_a_at	100144597
238241_at	100144602
238557_at	100144603
1556768_at	100144604
244431_at	100144748
240185_at	100147773
217746_s_at	10015
222394_at	10015
203415_at	10016
1556133_s_at	100169752
230068_s_at	100169890
224258_at	100169989
221320_at	10017
236491_at	10017
1565849_a_at	100170229
231632_at	100170765
228066_at	100170841
1553088_a_at	10018
208536_s_at	10018
1555372_at	10018
1553096_s_at	10018
222343_at	10018
1558143_a_at	10018
225606_at	10018
223516_s_at	100188893
218233_s_at	100188893
1562733_at	100188953
1557617_at	100189589
203320_at	10019
232731_x_at	100190938
1563983_at	100190939
227709_at	100190939
227710_s_at	100190939
1559965_at	100192378
1559966_a_at	100192378
1569670_at	100192379
239509_at	100192386
206866_at	1002
220227_at	1002
205042_at	10020
206946_at	10021
230208_at	10021
238473_at	100216545
235319_at	100216546
235217_at	100216546
221091_at	10022
219889_at	10023
1568596_a_at	10024
204649_at	10024
1557493_x_at	100240728
1557491_at	100240728
221544_s_at	10025
221418_s_at	10025
221938_x_at	10025
221545_x_at	10025
43544_at	10025
209707_at	10026
227639_at	10026
233491_at	100268168
1563246_at	100270679
229722_at	100270804
216177_at	100270972
234365_at	100271043
217313_at	100271285
216477_at	100271291
234360_at	100271399
1556304_s_at	100271722
232088_x_at	100271722
216862_s_at	100272147
210212_x_at	100272147
243784_s_at	100272217
243785_at	100272217
1569315_s_at	100272228
244542_at	100286844
244543_s_at	100286844
230953_at	100286922
240115_at	100286925
240767_x_at	100286938
233174_at	100287015
240617_at	100287098
1555196_at	100287114
234026_at	100287177
1569086_at	100287177
233512_at	100287216
1556829_at	100287227
1565608_at	100287290
240936_at	100287290
237357_at	100287366
217220_at	100287387
231293_at	100287467
235736_at	100287482
1563369_at	100287569
237591_at	100287569
232752_at	100287616
235655_at	100287765
235656_s_at	100287765
240752_at	100287808
236986_at	100287814
1554609_at	100287896
234611_at	100287902
218119_at	100287932
218118_s_at	100287932
225535_s_at	100287932
242226_at	100288079
1560181_at	100288122
230940_at	100288123
226125_at	100288152
1559403_at	100288198
1559404_a_at	100288198
219987_at	100288413
230632_at	100288432
230631_s_at	100288432
1558750_a_at	100288637
243092_at	100288730
1554041_at	100288797
1554042_s_at	100288797
236657_at	100288911
236656_s_at	100288911
1560089_at	100289019
1563071_at	100289061
230696_at	100289092
215160_x_at	100289097
239896_at	100289098
230277_at	100289187
238456_at	100289230
236001_at	100289255
240574_at	100289274
232420_x_at	100289341
229338_at	100289361
1557037_a_at	100289373
1557038_s_at	100289373
220354_at	100289410
239215_at	100289495
237266_at	100289509
227822_at	100289635
221876_at	100289678
78495_at	100289678
1569378_at	100292680
221963_x_at	100293516
1569078_at	100294362
1568974_at	100294720
204677_at	1003
233111_at	100302522
1568768_s_at	100302650
1559645_at	100302691
1559646_a_at	100302691
237522_at	100302740
239242_at	100303728
228544_s_at	100303755
228543_at	100303755
228972_at	100306951
1561319_at	100309464
1556242_a_at	100310756
217139_at	100310838
203969_at	100310840
1557712_x_at	100310850
1557710_at	100310850
1564069_at	100316868
1564070_s_at	100316868
244553_at	100316868
204692_at	100316904
37796_at	100316904
231138_at	100329135
1562916_at	100359394
203975_s_at	10036
214426_x_at	10036
203976_s_at	10036
1562943_at	100379174
222947_at	100379224
1552401_a_at	100379661
215773_x_at	10038
204752_x_at	10038
214086_s_at	10038
243648_at	100381270
1565867_a_at	100381270
209940_at	10039
210602_s_at	1004
210601_at	1004
205532_s_at	1004
205533_s_at	1004
214803_at	1004
240261_at	10040
204485_s_at	10040
1568592_at	100419583
217357_at	100419702
212596_s_at	10042
212597_s_at	10042
215932_at	100420228
216584_at	100421341
227650_at	100421372
226887_at	100421372
230082_at	100421436
241613_at	100421641
1568897_at	100422212
208566_at	100422478
217209_at	100422623
235774_at	100422737
230432_at	100422737
202807_s_at	10043
1552667_a_at	10044
226673_at	10044
219513_s_at	10045
205088_at	10046
220627_at	10047
216125_s_at	10048
202583_s_at	10048
202582_s_at	10048
208811_s_at	10049
208810_at	10049
209015_s_at	10049
243687_at	100498859
1569755_at	100499171
215009_s_at	100499177
231637_at	100499194
227567_at	100499466
1566987_s_at	100499466
225055_at	100499466
225054_x_at	100499466
230812_at	100499467
227452_at	100499467
235323_at	100499489
228207_at	100499489
220679_s_at	1005
1554700_at	1005
1565925_at	10050
207051_at	10050
229926_at	100500850
237681_at	100500934
237344_at	100505474
231203_at	100505478
229156_s_at	100505483
229157_at	100505483
230132_at	100505495
231337_at	100505498
235171_at	100505501
231333_at	100505515
1568791_s_at	100505518
215981_at	100505534
240719_at	100505536
233021_at	100505538
1568807_a_at	100505538
231485_at	100505540
240685_at	100505545
237274_at	100505547
238055_at	100505549
241534_at	100505549
231419_at	100505555
242841_at	100505570
231431_s_at	100505573
225567_at	100505573
238360_s_at	100505576
1561984_at	100505583
242465_at	100505592
230545_at	100505601
1558496_at	100505609
1558497_a_at	100505609
228930_at	100505616
231627_at	100505619
1553438_at	100505621
243961_at	100505622
1556670_at	100505624
1556671_s_at	100505624
238901_at	100505633
239370_at	100505633
224644_at	100505641
1557865_at	100505658
230978_at	100505659
231089_at	100505664
235886_at	100505666
237729_at	100505676
239362_at	100505681
230366_at	100505683
237758_at	100505685
228275_at	100505687
236798_at	100505687
227591_at	100505696
229635_at	100505702
237779_at	100505711
238944_at	100505715
1561370_at	100505716
1561881_at	100505718
241262_at	100505728
229347_at	100505738
236591_at	100505738
221057_at	100505741
229040_at	100505746
229041_s_at	100505746
1556899_at	100505758
214857_at	100505761
237760_at	100505768
231036_at	100505774
241291_at	100505776
1557068_at	100505782
1558906_a_at	100505783
243742_at	100505797
227655_at	100505806
1557443_s_at	100505811
1569004_at	100505812
242521_at	100505812
231563_at	100505824
236695_at	100505826
1559483_at	100505832
1559303_at	100505835
1557389_at	100505839
231434_at	100505841
1568647_at	100505851
1568648_a_at	100505851
1556909_at	100505853
227431_at	100505854
238126_at	100505854
229363_at	100505865
230781_at	100505875
229746_x_at	100505876
1564381_s_at	100505876
231819_at	100505876
239880_at	100505877
1557424_at	100505878
211350_s_at	100505879
211351_at	100505879
235267_at	100505881
227554_at	100505881
229480_at	100505881
237425_at	100505890
241432_at	100505893
235406_x_at	100505894
229815_at	100505894
239174_at	100505912
