mgi_symbol,entrezgene_id
Myorg,329828
Myrf,225908
Naglu,27419
Nap1l2,17954
Napsa,16541
Ncam1,17967
Ncam2,17968
Ncf1,17969
Nckap1,50884
Ncl,17975
Ncr1,17086
Ndufa10,67273
Ndufb5,66046
Nefh,380684
Nefl,18039
Negr1,320840
Nelfa,24116
Nell2,54003
Neo1,18007
Nes,18008
Nf1,18015
Nfe2l2,18024
Nfkbia,18035
Nfkbib,18036
Ngf,18049
Ngfr,18053
Ninj2,29862
Nkg7,72310
Nkiras1,69721
Nlk,18099
Nlrp1b,637515
Nlrp3,216799
Nmb,68039
Nme5,75533
Nmnat2,226518
Nol3,78688
Nos1,18125
Nos1ap,70729
Nos2,18126
Nos3,18127
Nostrin,329416
Notch1,18128
Notch3,18131
Notch4,18132
Nova1,664883
Npas2,18143
Npas4,225872
Npc1,18145
Npc2,67963
Nptn,20320
Npy,109648
Nqo1,18104
Nr4a2,18227
Nrcam,319504
Nrg1,211323
Nrxn1,18189
Nsf,18195
Ntf3,18205
Ntng1,80883
Ntrk1,18211
Nts,67405
Nuak1,77976
Nwd1,319555
Olfm3,229759
Olfml3,99543
Olfr110,258325
Olig1,50914
Olig2,50913
Opa1,74143
Opcml,330908
Optn,71648
Orc3,50793
Orc4,26428
Orc5,26429
Osmr,18414
Oxr1,170719
P2rx4,18438
P2rx7,18439
P2ry1,18441
P2ry12,70839
P2ry13,74191
P2ry6,233571
Pah,18478
Pak1,18479
Palm,18483
Panx1,55991
Park7,57320
Parp1,11545
Parp2,11546
Pcca,110821
Pccb,66904
Pcna,18538
Pcsk2,18549
Pde1a,18573
Pde1b,18574
Pde4d,238871
Pdgfra,18595
Pdgfrb,18596
Pdha1,18597
Pdhb,68263
Pdpk1,18607
Pecam1,18613
Pfn1,18643
Pgam1,18648
Pgk1,18655
Phf19,74016
Phf2,18676
Phf21a,192285
Phyh,16922
Pias1,56469
Pik3ca,18706
Pik3cb,74769
Pik3r1,18708
Pink1,68943
Pkd2,18764
Pkn1,320795
Pla2g2a,18780
Pla2g2e,26970
Pla2g2f,26971
Pla2g4a,18783
Pla2g4b,211429
Pla2g4c,232889
Pla2g4d,78390
Pla2g4e,329502
Pla2g4f,271844
Pla2g6,53357
Plaa,18786
Plcb1,18795
Plcb2,18796
Plcb3,18797
Plcb4,18798
Plcl2,224860
Plekhb1,27276
Plekho2,102595
Pllp,67801
Plp1,18823
Pls1,102502
Plxdc2,67448
Plxnb3,140571
Plxnc1,54712
Pmepa1,65112
Pmp22,18858
Pnkd,56695
Pnoc,18155
Polr2b,231329
Polr2h,245841
Polr2j,20022
Polr2k,17749
Polr2l,66491
Por,18984
Ppargc1a,19017
Ppm1a,19042
Ppm1l,242083
Ppp2ca,19052
Ppp2r2b,72930
Ppp2r5c,26931
Ppp2r5e,26932
Ppp3ca,19055
Ppp3cb,19056
Ppp3cc,19057
Ppp3r1,19058
Ppt1,19063
Pqbp1,54633
Prf1,18646
Prkaa2,108079
Prkab1,19079
Prkab2,108097
Prkaca,18747
Prkacb,18749
Prkag1,19082
Prkar1a,19084
Prkca,18750
Prkcb,18751
Prkcd,18753
Prkce,18754
Prkcg,18752
Prkci,18759
Prkcq,18761
Prkcsh,19089
Prkcz,18762
Prkdc,19090
Prl,19109
Prnp,19122
Pros1,19128
Prpf3,70767
Prpf31,68988
Psen1,19164
Psen2,19165
Psma5,26442
Psmb8,16913
Psmb9,16912
Psmc2,19181
Psmc6,67089
Psmd10,53380
Psmd14,59029
Psmd6,66413
Ptdss1,19210
Ptdss2,27388
Pten,19211
Ptger4,19219
Ptgis,19223
Ptgs2,19225
Pth2r,213527
Ptk2,14083
Ptk2b,19229
Ptpn1,19246
Ptpn11,19247
Ptprc,19264
Ptprm,19274
Ptprn2,19276
Ptprr,19279
Ptprz1,19283
Ptx3,19288
Pvalb,19293
Rab1a,19324
Rab2a,59021
Rab3a,19339
Rab3c,67295
Rab6b,270192
Rac1,19353
Rad23b,19359
Raf1,110157
Ran,19384
Ranbp9,56705
Rapgef2,76089
Rasa1,218397
Rasgrf1,19417
Rasgrp1,19419
Rbx1,56438
Rdx,19684
Reck,53614
Reep5,13476
Rela,19697
Ret,19713
Rfx4,71137
Rhoa,11848
Rhob,11852
Rims1,116837
Ring1,19763
Rit2,19762
Rlim,19820
Rnasel,24014
Rnf10,50849
Rock2,19878
Rorb,225998
Rras,20130
Rtn1,104001
Rtn4,68585
Rxfp1,381489
Ryr1,20190
Ryr2,20191
Ryr3,20192
S100a10,20194
S100b,20203
Sall1,58198
Sall3,20689
Samm50,68653
Sart1,20227
Scamp2,24044
Scn1a,20265
Scn8a,20273
Scoc,56367
Scp2,20280
Sec23a,20334
Sec61a2,57743
Selenos,109815
Serinc3,26943
Serpina3n,20716
Serpinb6a,20719
Serpine2,20720
Serping1,12258
Serpini1,20713
Sf3a2,20222
Sf3b2,319322
Sf3b4,107701
Sgce,20392
Sgpl1,20397
Sh2d1a,20400
Sh3gl2,20404
Sh3tc2,225608
Shank2,210274
Shc3,20418
Shh,20423
Siglech,233274
Sirpa,19261
Sirt1,93759
Sirt2,64383
Sirt5,68346
Sirt7,209011
Sla,20491
Slc10a6,75750
Slc11a1,18173
Slc12a2,20496
Slc12a5,57138
Slc17a6,140919
Slc17a7,72961
Slc18a2,214084
Slc18a3,20508
Slc1a1,20510
Slc1a2,20511
Slc1a3,20512
Slc24a3,94249
Slc25a12,78830
Slc25a17,20524
Slc25a4,11739
Slc2a1,20525
Slc2a5,56485
Slc32a1,22348
Slc38a1,105727
Slc46a1,52466
Slc4a10,94229
Slc6a1,232333
Slc6a3,13162
Slc6a4,15567
Slc7a8,50934
Slc8a1,20541
Slc9a6,236794
Slc9b2,97086
Slco2b1,101488
Slpi,20568
Slu7,193116
Smad3,17127
Smn1,20595
Smpd4,77626
Smyd1,12180
Snap25,20614
Snap91,20616
Snca,20617
Sncaip,67847
Sncb,104069
Snrpa,53607
Sod1,20655
Sod2,20656
Sorcs3,66673
Sorl1,20660
Sox10,20665
Sox2,20674
Sox9,20682
Sp1,20683
Sp100,20684
Sparc,20692
Spast,50850
Sphk1,20698
Spi1,20375
Spib,272382
Spp1,20750
Sptan1,20740
Sptbn2,20743
Sqstm1,18412
Src,20779
Srgn,19073
Sri,109552
Srpr,67398
Srsf4,57317
Stab1,192187
Stambpl1,76630
Stat1,20846
Stat2,20847
Stat3,20848
Stmn1,16765
Stx1a,20907
Stx1b,56216
Stx2,13852
Stxbp1,20910
Sucla2,20916
Sugt1,67955
Sumo1,22218
Sybu,319613
Syn1,20964
Syn2,20965
Syngr1,20972
Synj1,104015
Syt1,20979
Syt13,80976
Syt4,20983
Syt7,54525
Taf10,24075
Taf4,228980
Taf4b,72504
Taf9,108143
Tanc2,77097
Tap1,21354
Tardbp,230908
Taz,66826
Tbk1,56480
Tbp,21374
Tbpl1,237336
Tbr1,21375
Tbx21,57765
Tcerg1,56070
Tcirg1,27060
Tcl1,21432
Tenm2,23964
Tenm4,23966
Tfam,21780
Tfec,21426
Tgfb1,21803
Tgfbr1,21812
Tgfbr2,21813
Tgm1,21816
Th,21823
Thrb,21834
Thy1,21838
Tiam1,21844
Ticam1,106759
Tie1,21846
Timp2,21858
Tjp1,21872
Tln2,70549
Tlr2,24088
Tlr3,142980
Tlr4,21898
Tlr7,170743
Tm4sf1,17112
Tmem100,67888
Tmem119,231633
Tmem47,192216
Tmem88b,320587
Tmsb4x,19241
Tnc,21923
Tnf,21926
Tnfrsf10b,21933
Tnfrsf11a,21934
Tnfrsf11b,18383
Tnfrsf12a,27279
Tnfrsf17,21935
Tnfrsf1a,21937
Tnfrsf1b,21938
Tnfrsf21,94185
Tnr,21960
Tomm20,67952
Tomm70a,28185
Tor1a,30931
Tpi1,21991
Tpm1,22003
Tpsab1,100503895
Tpsb2,17229
Tradd,71609
Trat1,77647
Trem1,58217
Trem2,83433
Trf,22041
Trim17,56631
Trim2,80890
Trim26,22670
Trim28,21849
Trim3,55992
Trim35,66854
Trim37,68729
Trim45,229644
Trim46,360213
Trim68,101700
Trp53,22059
Trpm2,28240
Trpv1,193034
Tsc1,64930
Tspan7,21912
Tspo,12257
Txn1,22166
Txnl1,53382
Tyrobp,22177
U2af2,22185
Ube2g1,67128
Ube2k,53323
Ube2n,93765
Ube3a,22215
Ube3c,100763
Ube4b,63958
Ubqln1,56085
Ubqln2,54609
Uchl1,22223
Ugcg,22234
Ugt8a,22239
Ulk1,22241
Unc13a,382018
Unc79,217843
Unc80,329178
Usp2,53376
Usp21,30941
Vcp,269523
Vdac1,22333
Vdac3,22335
Vegfa,22339
Vim,22352
Vip,22353
Wasf1,83767
Wdr35,74682
Wfs1,22393
Xab2,67439
Xbp1,22433
Xcl1,16963
Xiap,11798
Xk,22439
Ywhae,22627
Ywhag,22628
Ywhah,22629
Ywhaq,22630
Ywhaz,22631
Zfp24,59057
Zfp365,216049
Zpr1,22687
Adora3,11542
AI464131,329828
Aldh1a1,11668
C4a.b,625018
Cers1,93898
Cxcl11,56066
Gucy1b3,54195
H2.D1,14964
H2.Ea.ps,100504404
H2.T23,15040
Hspa1a.b,193740
Kir3dl1.2,245615
Mx1,17857
Nkx6.2,14912
P2ry14,140795
Park2,50873
Pla2g16,225845
Scn2a1,110876
Skp1a,21402
Taf6l,225895
Trac,100101484
Tusc3,80286
Twistnb,28071
Ube2d2a.b,56550
Usp30,100756
X3110043O21Rik,73205
