sig_id	DER001.A549.96H.TRCN0000001401..666	DER001.A549.96H.TRCN0000196310..666	DER001.A549.96H.TRCN0000297346..666	DER001.A549.96H.TRCN0000195283..666	DER001.A549.96H.TRCN0000350250..666	DER001.A549.96H.TRCN0000005421..666	DER001.A549.96H.TRCN0000195274..666	KDD004.A549.96H.TRCN0000006180..666	DER001.A549.96H.TRCN0000230575..666
pert_id	TRCN0000001401	TRCN0000196310	TRCN0000297346	TRCN0000195283	TRCN0000350250	TRCN0000005421	TRCN0000195274	TRCN0000006180	TRCN0000230575
pert_iname	EIF2AK3	PTK2	MELK	PIK3C2A	PTP4A1	RIOK3	GNE	PGK1	ALDH9A1
pert_type	trt_sh	trt_sh	trt_sh	trt_sh	trt_sh	trt_sh	trt_sh	trt_sh	trt_sh
cell_id	A549	A549	A549	A549	A549	A549	A549	A549	A549
pert_dose	1	1	1	1	1	1	1	1	1
pert_dose_unit	µL	µL	µL	µL	µL	µL	µL	µL	µL
pert_idose	1 µL	1 µL	1 µL	1 µL	1 µL	1 µL	1 µL	1 µL	1 µL
pert_time	96	96	96	96	96	96	96	96	96
pert_time_unit	h	h	h	h	h	h	h	h	h
pert_itime	96 h	96 h	96 h	96 h	96 h	96 h	96 h	96 h	96 h
distil_id	DER001_A549_96H_X1_B7_DUO52HI53LO:G19|DER001_A549_96H_X2_B7_DUO52HI53LO:G19|DER001_A549_96H_X3_B7_DUO52HI53LO:G19	DER001_A549_96H_X1_B7_DUO52HI53LO:L21|DER001_A549_96H_X2_B7_DUO52HI53LO:L21|DER001_A549_96H_X3_B7_DUO52HI53LO:L21	DER001_A549_96H_X1_B7_DUO52HI53LO:A18|DER001_A549_96H_X2_B7_DUO52HI53LO:A18|DER001_A549_96H_X3_B7_DUO52HI53LO:A18	DER001_A549_96H_X1_B7_DUO52HI53LO:D22|DER001_A549_96H_X2_B7_DUO52HI53LO:D22|DER001_A549_96H_X3_B7_DUO52HI53LO:D22	DER001_A549_96H_X1_B7_DUO52HI53LO:A06|DER001_A549_96H_X2_B7_DUO52HI53LO:A06|DER001_A549_96H_X3_B7_DUO52HI53LO:A06	DER001_A549_96H_X1_B7_DUO52HI53LO:J11|DER001_A549_96H_X2_B7_DUO52HI53LO:J11|DER001_A549_96H_X3_B7_DUO52HI53LO:J11	DER001_A549_96H_X1_B7_DUO52HI53LO:C05|DER001_A549_96H_X2_B7_DUO52HI53LO:C05|DER001_A549_96H_X3_B7_DUO52HI53LO:C05	KDD004_A549_96H_X1_B5_DUO52HI53LO:D01|KDD004_A549_96H_X2_F1B5_DUO52HI53LO:D01|KDD004_A549_96H_X3_B5_DUO52HI53LO:D01	DER001_A549_96H_X1_B7_DUO52HI53LO:B14|DER001_A549_96H_X2_B7_DUO52HI53LO:B14|DER001_A549_96H_X3_B7_DUO52HI53LO:B14
region	CDS	CDS	CDS	CDS	3UTR	CDS	3UTR	CDS	CDS
NCBI_geneId	9451	5747	9833	5286	7803	8780	10020	5230	223
152559	-0.4823197	0.08076417	0.3232667	-1.450518	-0.7274357	-0.3185213	0.2944939	-0.7401388	-1.70618
841	-0.5117912	0.7276052	0.08879808	0.4873789	1.08351	0.3657132	1.103025	1.04618	-0.1233075
26275	0.2816619	1.28077	-0.9951305	0.6001652	0.697796	0.08914592	-0.7183626	-0.2121265	-0.248331
22890	0.2125237	-1.2169	-2.538461	-0.7901435	0.8472923	-0.4729378	-2.094806	0.6997663	-0.1793316
6206	-0.1873681	-0.3030711	-0.7888001	0.8943055	-0.3437136	0.1327975	-0.817016	0.326633	-0.7668415
27235	0.07946742	0.3193511	-2.239409	-1.715453	-0.9990341	-0.5887949	-1.129858	0.5768805	-0.9281102
1124	1.393152	0.2958865	0.6806911	0.9265218	0.1607903	0.2264309	1.130039	0.0500438	0.09793198
54454	0.2379572	1.671289	0.2729433	1.236296	-0.8149264	-0.3928818	-0.6869617	0.1581611	-0.1801331
286148	0.7164061	-0.9061341	-0.9561102	-1.827357	-0.8509054	-0.7403748	-0.8361886	0.6151125	-0.3048407
124152	0.421587	-0.5868348	-0.1426713	-0.3034307	-1.485801	0.1353069	0.1736921	0.8124827	1.427379
23209	-0.2663802	0.1329708	2.543493	1.190979	0.6540023	-0.8611988	0.253992	-1.245224	1.52125
11216	0.01194555	0.01686329	-0.4401193	0.4807307	-0.2476526	-0.6765589	-0.4704611	1.071424	0.03699243
56948	-0.5876516	0.02141671	0.8395227	0.4569609	0.4972031	1.017787	0.7254633	1.22626	-0.8090365
6907	-0.4500997	-0.381556	-0.1082127	0.3293728	-1.08252	0.7615151	0.343513	1.387443	-1.147507
126208	0.458882	-0.4308628	1.359498	1.711877	0.6919271	-0.6556726	1.127319	-0.173281	0.404518
57403	-0.7372159	-0.9984911	1.558411	1.164498	0.4102312	-0.06524551	1.468412	0.2843193	1.045051
26098	0.475855	-0.2066439	-0.8488319	0.02379509	0.4891731	0.690138	0.2181544	1.085379	-0.3320917
3310	-0.1801177	-0.2536498	0.07809253	-0.3426833	0.4820453	-0.4204836	0.4251911	-1.342168	0.1385032
54587	-0.1752485	0.3560905	0.3871027	1.167102	-0.1361388	-0.1737789	0.3048873	0.7607669	-0.08843958
10799	-0.2165438	0.03654819	0.2679843	0.5145645	-0.2072704	-0.7262325	0.197479	-0.05712743	-0.5955213
1291	-0.5373125	0.871181	0.8379287	0.2657445	0.3198777	-1.47728	-0.4644882	-1.285989	0.5011058
80114	-1.388494	0.6168429	-0.9526713	-0.8266652	0.3985133	0.2503583	-1.159857	1.303214	-0.7425957
727897	-0.3904171	0.8945309	-0.3297967	0.6224034	0.3527452	-0.3626904	0.01545651	1.426969	0.2942349
2054	-0.9448519	0.2001196	-0.366273	1.055256	-1.442046	-0.4097939	0.5824451	0.2884886	-0.1823525
23314	0.8399361	-0.01270757	1.562563	0.3505163	-0.09041609	0.2212621	-1.002323	-0.8290372	1.023372
1268	0.1428598	-0.4496512	0.4712392	0.963264	-0.5549554	-1.443537	1.62269	0.6438673	0.5740362
643641	-0.5832517	-0.5491868	0.4413581	2.196008	1.875129	-0.2255362	-0.3690257	-0.7427242	0.1990443
3653	-0.2809643	0.6870001	1.082362	1.548669	1.221831	-0.2446541	-1.440739	-1.22394	-0.1355106
10940	0.4777452	-0.4604426	-0.4134187	-0.8018765	-0.4940571	0.2279828	-0.0615142	-0.2929342	0.8685375
7738	0.4370368	-0.02592503	1.03424	0.4993707	0.5994541	0.6403252	0.8366917	0.4679455	-0.7166815
92689	0.07809895	0.9342561	1.099611	0.6048702	0.7065305	-1.068263	1.630307	0.6279101	1.64174
9258	0.1643382	0.5198997	-0.281766	0.9950215	0.3814985	-0.3522791	-0.03033925	1.105596	-0.3292151
11051	-0.4810688	0.1913118	1.817383	0.1445446	0.9419832	-0.216789	-0.02895522	-0.9424664	0.01906909
4862	-0.4198677	0.814709	1.006466	-0.630322	-0.6477672	-0.1316649	0.1458335	0.6476833	-0.2566849
2068	-0.3490652	0.4800486	0.7745255	0.4251805	-0.4152988	-0.7381853	0.9641477	-0.7997106	0.4414024
154881	-0.1222819	-0.7587098	-0.05494551	0.1131781	-0.7483232	0.1094538	-0.08512619	1.25917	0.2365891
23254	-0.4823126	0.8921182	-0.8327668	0.4667134	0.414232	-1.117136	-0.9788542	0.9943638	-0.4574957
4885	0.2029618	0.7793396	1.018615	0.5593983	-3.115775	0.2763489	-3.876319	-2.918061	0.4579862
8674	-0.8161191	0.870106	1.554487	1.148839	1.487185	0.2902844	0.1611642	-0.3436968	0.0113675
89845	0.1366929	-0.1643713	0.6581763	0.7050328	0.1188307	0.4767847	-0.2613494	-0.222167	-0.342711
1280	-1.093925	-0.1969534	1.424156	0.5999885	1.076509	-0.6982728	0.2738766	-1.22428	-0.7819989
25841	0.5787117	0.4791331	2.235912	1.70265	0.3955352	-0.1506792	0.1757171	-1.337068	1.783817
51	0.9593984	-0.7377632	-0.01329771	-0.9036152	0.2824681	-0.7282301	-0.7630236	0.212706	-0.008878917
302	-2.376893	-2.591679	-10	-0.8389319	-5.626183	-0.8424833	-3.227653	0	-2.32199
10147	-0.6001908	0.1264634	1.243491	0.7859864	0.5082226	-0.01784555	1.871352	0.5835611	0.466742
2150	0.6111653	0.250954	-0.5090038	-0.1397457	-0.6958792	0.7151223	-0.2839185	-1.390565	-0.03415084
220594	-0.1513312	0.2361377	-0.9251876	-0.3545887	-0.09160899	1.248338	-0.9017957	0.3391093	-0.6680499
122616	0.4740786	-0.7833892	2.746804	2.609101	0.6765032	-0.07925503	-0.2827413	-0.9592207	1.075449
10109	-1.27576	0.7624563	0.1423775	0.2430217	-0.5511692	-0.09779888	1.884516	-0.1006797	0.06152942
3908	0.5657681	0.3063521	-1.162835	0.4229324	0.2008663	-0.3846001	-0.0150989	0.2533965	-0.1386176
9401	0.3126977	0.05931751	-0.7528847	-0.3399205	0.7818578	-0.6881363	-0.825085	0.4529447	-0.003675744
26469	-0.3801687	0.1051066	0.2871349	0.3554018	0.03772452	-0.04084124	0.8074316	0.5607685	0.0166669
898	-0.07650676	-1.281523	-0.3614845	0.6262755	0.6616668	-0.290492	-0.4661575	0.2302147	-0.2922938
50486	-0.4998768	0.8887068	-0.9517273	0.219818	-0.809769	0.2325834	0.6374429	-1.279232	-0.4824683
55957	1.113549	0.2852443	1.372558	0.7542698	0.2051104	-0.1940478	1.83629	-0.8442163	0.4634546
92342	0.153888	-0.5782661	0.4961868	1.022655	1.757138	0.5924276	0.5787105	-0.924309	0.1734588
23178	-1.139278	-1.580007	-0.50071	-0.3261086	0.1918429	1.076903	-1.504156	0.9038966	-0.4292882
7329	0.5081282	0.2976039	-1.542274	-0.749458	-2.250459	-0.2804041	0.1215469	-0.4237407	-1.633589
7923	-0.6881623	-0.2401744	0.3715875	0.8046492	-0.6649469	0.6391089	-0.4375521	-0.7769668	-0.6337851
2078	-0.2347182	0.4078692	-0.2685828	0.8031782	0.03896761	0.611182	-0.7702979	-0.1135274	-0.3241295
23066	0.1168858	0.08795518	1.48935	0.8600668	1.621637	-0.5345286	0.6631343	0.9000199	0.6733555
118987	-1.354911	0.5319723	0.03278637	-1.72232	-0.2614216	0.3233643	-1.280614	0.8559672	-0.5884761
26035	0.2731718	-0.5144646	-0.7162115	-0.3842765	0.3957261	-0.4615169	-1.653324	2.081906	0.1333395
112611	1.940081	-0.9267143	0.5599915	-0.3112363	1.677129	0.6078451	0.5794224	-0.5677919	-0.425248
116039	1.071552	-0.1032426	0.0774222	1.160006	-0.2562521	0.487548	1.471666	-0.1227038	0.7297345
9470	1.10291	0.1510389	-0.8064082	-0.03643402	-1.047891	-0.0514645	-0.08317161	0.3167658	-0.3157595
1992	-0.032737	-0.2124449	1.009578	2.032794	0.05959638	-0.64848	-0.01799899	0.0997235	-0.1154937
657	-0.2614401	-0.4044605	-1.448259	-1.847429	0.350682	0.1674425	-2.729413	0.1967786	-0.4754503
155066	-0.8344785	0.1604915	-0.5899327	1.470898	0.4800164	-0.08629824	0.1407736	0.9024515	-1.605927
146712	-1.054307	0.9105362	-0.3826209	-0.2631073	0.5692363	0.3539646	-0.7202252	-0.08100025	0.2415134
11339	-0.108873	-0.6557192	-0.7702507	-0.870793	0.07493186	0.09845272	-1.062216	-0.6594555	0.0009964332
402055	0.5046167	-0.6999385	-0.4742049	0.0707424	-0.4067487	0.02687101	0.1536919	-0.1190182	0.5424635
151230	1.043326	-0.2819171	0.5252464	-0.3994438	0.6428926	-0.155696	-0.7961341	-0.4776189	0.66101
362	-0.4210898	0.7411671	-0.4980094	1.875873	-0.4462025	-1.101514	0.5724324	0.4538074	0.374713
25941	0.4021556	-0.4762774	0.6962339	-1.860274	-0.3448545	0.4290572	0.8429344	0.9073577	-0.03825068
116984	-0.4106915	-0.8527985	1.939788	0.417956	-0.2082862	-0.03129018	1.2154	-1.575431	0.6737525
3384	-0.555868	-0.02437745	-0.8446234	0.2093472	0.2229269	-0.6161976	-1.495198	-0.4545433	0.3334215
11127	0.5209336	0.2037292	0.6073328	0.9278556	0.2851977	-0.9353804	0.09602663	0.4395405	0.8458
10924	2.51074	0.09671019	0.1529388	-0.556672	0.3706386	0.564113	0.6649166	-0.2038696	0.1147739
84869	0.06882304	0.1037658	0.668639	-0.7263972	1.029454	0.6193745	-0.389306	-0.4280503	0.4353625
4494	-0.6772957	0.03340212	0.9227784	-0.1515383	-0.1015727	0.008770913	-0.1150564	-0.8588661	0.3168731
1723	-0.303822	1.025886	-0.1765491	0.516742	0.5402007	-0.2146862	-0.000617357	-1.943614	0.2849025
1763	-0.3946504	0.164143	-0.3444523	-0.06096292	0.1693957	0.4434933	-1.536223	-0.5655503	-0.8697268
3831	0.1806625	-0.1580382	-0.04743952	1.594482	-0.02814082	-1.407729	0.4545829	0.2515492	0.1444477
6505	1.00396	-0.2902539	0.0746287	1.585375	-0.9069078	0.1760074	-1.17005	1.599381	0.1601895
23157	-1.065122	0.05290414	0.7213805	0.8310536	1.759899	-0.09203279	-0.2122824	0.6447928	0.277786
155400	0.01175697	0.4248185	1.248628	0.8376579	0.07826456	-0.0214903	0.01169588	-0.1546733	-0.7847554
5378	-0.9786333	0.07388394	-1.721654	-1.132522	0.3318752	0.9761967	-0.5741656	-0.3266501	1.271687
10762	0.3988852	-0.4307054	-0.5710036	-1.648115	-1.300406	-0.5134412	-0.7410797	1.972763	-0.004513949
6165	-0.7977436	0.02924056	-0.8003958	0.6138116	0.304575	-0.03318708	-1.00725	-0.6982797	-0.6037422
54665	0.5204282	-0.1332375	0.2187661	0.06312367	1.166012	0.09842271	0.7152864	-0.6093334	0.6927493
91298	-1.289718	-0.4696606	-1.628812	-0.5445286	0.1171928	0.1928817	0.009472892	0.200599	-0.6980773
6945	0.1121726	0.5582355	-1.43037	1.236582	-1.599522	0.9598235	0.8362657	0.3591627	-0.6897857
3887	-1.292597	0	-3.037419	0	0	-5.013927	-0.5886907	0	0
54898	-0.5343469	-1.004113	-1.766654	0.5372196	-1.120411	-0.06473234	0.7775618	-0.2315512	-0.6155051
89944	-0.4844711	-0.294683	0.7198821	1.148561	0.5842682	-0.7495123	-0.7810077	0.07470506	0.1334873
6398	1.122667	-1.631731	-0.1228613	1.189556	0.990624	-1.544217	-0.2796437	1.111521	-0.891596
5936	-1.047064	0.4726326	0.7774224	0.2807798	0.7204711	-0.1625181	-1.659995	-0.3568754	-0.1657001
10383	-0.5991595	-0.04241142	-0.2984652	0.1420931	-1.068755	0.197221	-0.2534058	0.7676849	0.1088527
6929	-0.7844868	0.1220751	0.02297267	-1.273142	-0.8352011	0.2338344	0.3510321	-0.2930143	0.6757315
1329	0.6445343	0.5896375	-0.3058979	-0.6170141	-1.005177	0.9717484	-1.026489	0.4632507	-0.6386675
728498	-0.2497407	0.4325543	0.5808296	0.8678489	0.1110839	1.283167	0.1603276	-0.1669043	-0.590489
498	0.1258505	0.7218303	-0.8202014	0.489988	-1.029495	0.8585801	0.09889117	-0.579479	-1.861644
3836	-0.9246317	-0.1027772	0.8998771	-1.45597	0.8762417	0.2901075	-0.4782935	0.5619512	-1.188272
2316	-0.3666853	1.080887	-0.398082	0.4429904	-1.027546	-0.1698411	1.115717	0.09720449	-0.8184462
10605	1.333518	-0.1175054	-1.833186	0.06485952	-0.4051079	1.223901	1.244502	0.1297608	0.09886213
56890	-0.6303533	0.5160505	0.2220183	-0.08388425	0.5815213	0.01900867	0.6966727	0.1270211	-0.2135417
27316	-0.5954567	-1.184419	-0.5718622	-1.028857	-0.332976	0.7026108	-2.030119	-0.9235623	-0.5630165
55695	0.1953236	1.568377	-0.2728499	1.065627	-1.393236	-0.1670927	-0.1003914	0.2274067	-1.243926
129080	-0.3308472	-0.1505332	2.620092	0.9663914	1.192909	-0.1299732	0.8575139	-0.7628497	0.7559149
5179	-0.1863556	-0.9071374	0.7879062	1.441594	0.7955227	-0.4557012	0.3820028	4.388495	-0.4361147
9456	0.4300937	-0.5023506	0.2521812	0.2021916	-0.3144988	0.7044818	-0.7044472	-1.341599	-0.3806411
25983	0.09992988	-0.5706661	-1.543594	1.722252	1.141896	-0.4345827	-0.5160139	0.4293342	0.01705095
5786	0.7073278	0.9595122	-0.2522601	-0.03302997	-0.4339263	-0.7816927	0.6188312	-0.6421386	-0.1208306
91543	1.016752	-0.08876699	0.2437135	-0.45682	0.2469572	-0.6153359	0.2015993	-1.197142	-0.1577982
3075	-0.5583317	0.136514	-0.7318152	0.05644188	-0.5021666	0.3077945	0.2472281	-0.2499981	0.366756
3921	-0.555622	-0.4634664	-1.224416	0.3479731	0.1634304	-0.04444703	-0.1855823	0.212426	-0.5411544
10645	-1.025198	-1.258497	0.2922089	0.7836157	1.175694	-0.9028933	0.7108846	-0.6319081	0.1755373
3207	1.190673	0.4138362	1.069196	0.658137	-0.1227853	0.1114125	0.5079301	-0.5089247	-0.1676701
84705	-1.150366	1.221621	0.9258022	1.013802	0.2532628	-0.3159971	0.6332314	-0.3089318	0.2956617
5630	-1.360541	0.5899919	-1.3156	0.727413	0.4632653	0.4532063	-0.4832288	1.137995	-0.8233345
1849	-0.1196193	0.02084976	-0.04774415	1.0245	-0.8453296	0.2202459	-1.277087	-0.7255177	-0.6516339
9939	0.1476729	-1.063836	1.239359	-0.2698075	1.292186	0.3025487	-0.05304952	-0.3834014	0.6756737
120526	-1.620725	0.746249	1.510949	0.02737402	1.213573	-1.774486	0.3742801	-0.2725993	1.23716
131566	-1.186677	0.2452394	-0.4317213	-0.265663	-0.8939337	-0.6899298	-0.1606727	-0.2164563	-0.06554791
8233	1.51897	0.219346	-0.2858378	0.344934	0.5217049	0.684369	1.481044	0.1834693	0.157326
8549	-1.77568	-0.04665259	1.454377	-0.6856285	1.57031	0.129837	1.119468	1.147817	0.6705312
353	-0.8513322	0.252375	-1.705827	-0.7290607	-1.853695	-0.06600404	-0.8815794	-0.3005526	-1.908829
5383	-1.390852	-0.2472746	0.0170951	0.8546495	-1.341312	-1.240514	1.140191	0.5217804	-1.055077
6150	-0.01469406	-0.1810784	-1.017162	0.5616505	-1.398255	-0.6274087	-0.0983396	-0.04541038	-0.7734095
5912	0.0235226	-1.052993	0.2312217	-0.4471865	-0.35847	0.07579324	0.7553031	-0.2397747	-0.1598016
4293	-0.7070224	0.2418941	0.7790667	0.976797	-0.677367	0.2951119	-0.4080935	0.8542224	0.01651862
3105	0.1561227	-0.3938769	1.536694	0.1438448	0.5323868	-0.01209576	-0.1920625	-0.8279938	0.2491597
7571	-0.8439978	-0.8920333	0.7170287	0.9936913	0.5930368	0.1246312	-0.1845925	-0.6299499	-1.186948
22902	-0.3277611	-0.9842256	0.2291041	0.5894278	0.6315632	1.269872	-0.0204899	0.2876723	1.155151
6201	-0.523802	-0.2880592	-1.278215	-0.2451242	0.1502549	0.5026945	-0.5843194	-0.1357609	-0.9954804
29893	0.2404095	0.3535528	-0.3702772	-0.6024458	-1.033618	-0.0783436	-0.2487277	-0.251795	-0.05366808
923	-1.343367	-1.110645	0.2191366	0.4225733	-0.007405028	-1.096222	-1.21841	-0.412801	-0.2617191
285282	-0.9709091	-0.6258888	1.954338	1.301615	2.341866	0.2360668	-0.6899657	-1.383368	0.3513441
4069	-0.8418779	-0.6893901	-0.2801677	0.2970862	-0.06001833	-0.738335	0.2038611	-0.4099885	-0.232082
25792	-0.1583197	0.3750571	0.5220057	-0.14226	-0.7295027	0.5447223	0.1208258	0.7687851	0.9459036
1487	-0.8817667	0.413549	1.103608	-1.449832	0.5705418	-0.6359738	0.9697794	1.900603	-0.4145921
6303	0.8983696	0.4722508	0.6270517	-1.130934	-1.116519	-1.271287	1.42301	0.8284553	-0.157037
51491	0.1118943	-0.2375872	-1.983902	-0.2515629	-1.214571	-0.1688542	-1.474276	-0.5622104	0.3648602
9704	0.05075281	0.06398243	0.9019209	1.411708	1.247263	-0.8567432	-0.09736091	-1.21127	-0.4077594
347733	-0.01436524	0.1557553	0.1860144	-1.383986	-0.07627086	0.6408578	1.088113	-0.7648492	0.6210111
2934	0.1684989	0.1852774	1.185898	0.1568309	0.9638143	0.7240146	0.5384042	-0.05145784	0.6599737
23120	0.1964423	0.4670487	0.8434927	0.2583769	0.9498764	0.8103846	-0.5748433	-1.285655	1.523783
10202	-0.7196987	0.3276052	-0.9045439	-0.7255153	0.7076578	0.589075	-0.5792781	-1.092414	-0.8250011
2878	-0.6105847	-0.1368296	-0.9522941	-0.4313521	-0.6567119	-1.052768	0.3618587	-0.9268543	-0.7263364
8880	-0.2995139	-0.2780276	-0.4666941	-1.029396	0.952925	0.6357582	-0.1957171	0.271392	0.8220036
10922	0.4299912	0.3313142	1.279909	1.937623	1.442694	0.002145253	0.1772898	0.9164647	-0.2818616
11116	-0.1283142	0.7008832	1.49961	0.1565899	0.4063947	0.1729384	-0.9736302	0.2867113	-0.1572438
8034	0.592678	0.06689256	-0.6907997	-0.6597768	-0.2540471	0.2446153	0.3122016	-0.6797904	-0.9178704
6432	-0.2182607	-0.8143669	-1.380987	-0.5455754	-1.318185	0.2657558	-1.509502	-0.8716807	-0.6415449
5473	-1.091779	0.5822272	0.01842725	0.4945117	0.1673502	-0.303188	-0.1640316	-0.2811564	0.2477845
771	-1.320811	0.9650815	0.08507651	1.268733	-0.148415	-1.148813	-0.4899693	0.4022737	1.089045
2271	-0.5911056	-0.2297927	-1.36673	0.8674237	-1.318774	0.6199314	0.54251	0.3703855	-0.7658311
6259	0.88052	-0.3221275	0.2054182	-0.2342283	-0.2597807	-0.7717451	-0.8640934	-1.123334	-0.2328844
23457	-0.05138514	-0.597876	1.46527	1.054777	0.6732277	0.09810559	1.068848	-0.197181	0.3686532
2495	0.9678817	-1.544988	0.3150179	0.978765	1.511884	0.09113616	1.380548	0.4531739	0.4282666
7503	1.122359	-0.5075545	0.7981937	0.1724975	0.6551197	0.5573752	0.9745263	-3.655649	1.08644
1577	-0.02684698	0.5303093	0.2419496	0.39686	0.4556966	0.7988554	0.1314659	0.01504683	-0.06264451
7703	0.1137859	0.3266838	0.6917784	2.842028	-0.5865823	0.1186224	-1.976711	1.874984	-0.3949115
51083	0.05668024	0.4771145	0.7665156	-0.2364587	0.7108427	-0.1156096	-0.3235104	-1.217744	-0.1453514
50488	-0.1317228	-0.174292	2.80323	-0.15814	-0.316539	0.1144028	1.145567	0.7621789	-0.2169939
1203	0.82806	-1.213992	0.1090012	-1.172006	-0.3562097	0.465959	-1.339012	0.9630676	-1.112785
57194	0.1484632	0.4700061	-0.5721253	1.142209	0.4377432	0.2059539	0.2859825	-1.035699	-1.260498
5432	0.129116	-0.3460002	-0.1767069	-0.4594077	-0.8395612	0.07781388	-0.01788036	-0.2684451	-0.3659525
90141	-1.065316	0.1532278	-1.318216	0.4556241	-1.388912	0.2623758	-0.8701425	1.27496	-1.033883
9110	0.7390562	0.1757039	0.8467739	0.8253928	0.4306121	1.079628	-1.042649	1.876657	0.04497703
6136	-0.8987393	0.03329029	-1.007387	0.1218339	0.0186411	-0.3700046	-0.2906883	0.183066	-0.4996583
11278	-1.672322	1.041922	1.419363	1.087984	-0.7532836	0.0858693	-0.5825071	-0.002106689	-0.07378373
3178	0.03934126	-1.336229	-2.421663	-0.5077657	-0.2181625	-0.5114517	-1.998183	1.379605	-0.3204319
6203	-0.7202063	-0.7839304	-0.8443881	1.873263	0.7991016	-0.01425594	-0.4960787	-0.2913723	-0.2613534
4856	0.3078649	-0.3660206	0.5844462	0.2249252	1.011873	0.718724	0.5201179	-0.4410857	-0.8280649
65110	-0.1360888	-1.548288	-0.4801645	-1.244176	-2.555128	1.143206	-0.9673404	1.084334	-0.7882631
7178	0.6289537	0.1478451	0.09835809	1.690602	1.939546	0.5794494	-0.01752034	0.1023261	-0.7380858
10102	-0.9514028	-1.050594	-0.1273661	0.5409775	1.523237	0.4576795	0.2987109	-0.2762926	-1.195661
3421	0.2212633	-0.005712703	2.471163	1.136481	0.3663796	0.1523223	0.9737189	-0.5509822	-0.7229232
3845	0.7045319	0.5686326	-0.03608808	-0.3920121	0.2607188	0.09628724	0.638914	-0.506115	0.2711378
4586	-0.1849396	-0.1276607	0.4739262	1.303041	-0.6561992	-0.8582699	0.8049883	-1.424097	-1.00789
10036	-0.66224	-0.2517478	-1.384062	-1.222785	1.120709	0.0002545565	-1.117198	0.05279258	-0.7510909
4839	0.7239085	-0.2583995	0.5188244	1.415435	1.154927	1.809825	0.6785874	0.0858002	1.465403
9107	0.8413848	0.3838789	-0.5404552	-0.4452635	-1.544662	0.7416532	-0.8695908	1.144696	-0.932074
2717	1.433077	-0.4943444	-0.324055	-0.5384987	-0.838309	1.625262	0.4821318	0.8122227	0.3056386
8833	0.4978338	0.2859502	-0.483654	-1.048282	-0.1859444	0.06418011	-0.4263553	-0.2018147	-0.3045141
8991	-0.05364598	-0.1831806	0.5418208	0.3850043	1.578348	-0.3319708	-0.6218565	-0.26592	1.254618
259217	-0.59171	0.876159	0.6405732	1.605891	1.006808	-0.6574667	-0.2844704	-0.3858113	0.4378192
6472	-0.1083756	0.3811605	-1.053489	-0.6942219	0.1072322	0.6834465	0.6580322	-0.8705882	-0.1108355
9	0.08422413	-0.7140539	-1.353194	1.19993	-0.001056448	0.1271945	0.4002635	1.193127	-0.1274797
9063	0.3432603	1.198472	1.598367	0.9771564	-0.8366686	0.7081252	-0.3672678	-0.07807393	-0.7781616
22936	-0.43469	0.2019987	1.323642	-0.3462563	-0.002733707	-1.227457	0.6248884	-0.9461325	0.3825859
1521	-1.400782	0.4891321	-0.6377274	-0.9388266	0.04772848	-0.4589068	0.2089971	-0.5612094	-0.2021745
586	-1.083289	1.206782	1.60506	-0.04804847	-0.6450881	0.03888756	1.180312	-1.414149	0.176973
10561	0.2386211	-0.7702318	-0.2597924	-0.5008494	-1.149072	0.01139298	0.4913248	-1.121017	0.6286564
3012	0.3116646	-1.193998	-1.105253	-0.5301549	0.06841823	-0.2107893	-0.2683277	-0.3048299	-0.2482527
5387	-1.076839	-0.669307	0.1103676	0.351121	-1.279241	-0.857904	0.3320217	0.9521599	-1.451485
10280	-0.4860217	-0.6052202	-1.602858	-1.413295	-1.837296	0.4417694	-1.682906	0.3398667	-0.4419029
6687	0.1216988	-1.00849	0.5902489	0.9324154	0.1231467	-0.226578	0.1287957	0.7852503	-1.078259
9555	0.4447077	-0.2408983	-0.1888198	-0.5422271	0.7905618	-0.3586118	1.415671	1.931027	0.5061471
1390	1.286558	0.1397804	1.637106	0.4845759	-0.545604	-0.1430436	-0.1887461	-1.911293	-0.2849248
10084	1.039348	-0.169692	-1.009161	-1.157555	-0.99086	0.5458052	1.018346	-0.2510112	-1.04893
6698	0.9683605	0.8588185	1.027891	2.12418	-1.245414	-1.044776	-0.6967372	-1.063176	-0.4616245
23534	0.3367539	-0.1391419	-0.4470041	0.4379399	-0.2905147	1.301055	-2.332813	0.1650431	0.3392056
5140	-1.091273	0.9908378	-0.7672384	-0.2875975	-0.25001	0.5955868	0.4456193	-0.2167777	-1.025547
6293	0.4305678	0.5413231	2.464876	1.413865	0.3754964	0.3600811	0.6404953	-1.046465	0.07765242
7003	0.1344456	0.147118	-0.6901568	0.9124055	0.9760739	-0.9141437	-1.771029	0.499798	-0.1874782
2138	0.2373943	0.1249299	0.4402223	0.6012957	0.1211843	0.4489377	0.267841	-0.4834895	-0.00178162
4105	1.033394	-0.1611029	-0.5073831	1.255034	-0.388567	-0.01569102	-1.376366	1.242801	-0.0778649
5551	-0.9294777	0.3584229	-0.01292473	-0.4793311	0.7505016	-1.815237	0.2799702	-1.049356	-0.4021205
5066	0.9862728	-0.5298086	0.9674624	0.7374237	0.5176507	-0.006271482	1.439183	-0.885758	0.3866599
797	-1.820861	0.9269652	1.242744	1.239967	0.1468083	0.2323685	0.03828736	-0.05055303	-0.4389386
