sig_id	DER001.HCC515.96H.TRCN0000262375..666	DER001.HCC515.96H.TRCN0000196310..666	DER001.HCC515.96H.TRCN0000280031..666	DER001.HCC515.96H.TRCN0000194822..666	DER001.HCC515.96H.TRCN0000002922..666	DER001.HCC515.96H.TRCN0000196572..666	DER001.HCC515.96H.TRCN0000006168..666	DER001.HCC515.96H.TRCN0000006178..666	DER001.HCC515.96H.TRCN0000230573..666
pert_id	TRCN0000262375	TRCN0000196310	TRCN0000280031	TRCN0000194822	TRCN0000002922	TRCN0000196572	TRCN0000006168	TRCN0000006178	TRCN0000230573
pert_iname	EIF2AK3	PTK2	MELK	PIK3C2A	PTP4A1	RIOK3	GNE	PGK1	ALDH9A1
pert_type	trt_sh	trt_sh	trt_sh	trt_sh	trt_sh	trt_sh	trt_sh	trt_sh	trt_sh
cell_id	HCC515	HCC515	HCC515	HCC515	HCC515	HCC515	HCC515	HCC515	HCC515
pert_dose	2	2	2	2	2	2	2	2	2
pert_dose_unit	µL	µL	µL	µL	µL	µL	µL	µL	µL
pert_idose	2 µL	2 µL	2 µL	2 µL	2 µL	2 µL	2 µL	2 µL	2 µL
pert_time	96	96	96	96	96	96	96	96	96
pert_time_unit	h	h	h	h	h	h	h	h	h
pert_itime	96 h	96 h	96 h	96 h	96 h	96 h	96 h	96 h	96 h
distil_id	DER001_HCC515_96H_X1_F1B6_DUO52HI53LO:I15|DER001_HCC515_96H_X2_F1B6_DUO52HI53LO:I15|DER001_HCC515_96H_X3_F1B6_DUO52HI53LO:I15	DER001_HCC515_96H_X1_F1B6_DUO52HI53LO:L21|DER001_HCC515_96H_X2_F1B6_DUO52HI53LO:L21|DER001_HCC515_96H_X3_F1B6_DUO52HI53LO:L21	DER001_HCC515_96H_X1_F1B6_DUO52HI53LO:O10|DER001_HCC515_96H_X2_F1B6_DUO52HI53LO:O10|DER001_HCC515_96H_X3_F1B6_DUO52HI53LO:O10	DER001_HCC515_96H_X1_F1B6_DUO52HI53LO:H24|DER001_HCC515_96H_X2_F1B6_DUO52HI53LO:H24|DER001_HCC515_96H_X3_F1B6_DUO52HI53LO:H24	DER001_HCC515_96H_X1_F1B6_DUO52HI53LO:E01|DER001_HCC515_96H_X2_F1B6_DUO52HI53LO:E01|DER001_HCC515_96H_X3_F1B6_DUO52HI53LO:E01	DER001_HCC515_96H_X1_F1B6_DUO52HI53LO:H23|DER001_HCC515_96H_X2_F1B6_DUO52HI53LO:H23|DER001_HCC515_96H_X3_F1B6_DUO52HI53LO:H23	DER001_HCC515_96H_X1_F1B6_DUO52HI53LO:C03|DER001_HCC515_96H_X2_F1B6_DUO52HI53LO:C03|DER001_HCC515_96H_X3_F1B6_DUO52HI53LO:C03	DER001_HCC515_96H_X1_F1B6_DUO52HI53LO:N19|DER001_HCC515_96H_X2_F1B6_DUO52HI53LO:N19|DER001_HCC515_96H_X3_F1B6_DUO52HI53LO:N19	DER001_HCC515_96H_X1_F1B6_DUO52HI53LO:F18|DER001_HCC515_96H_X2_F1B6_DUO52HI53LO:F18|DER001_HCC515_96H_X3_F1B6_DUO52HI53LO:F18
region	CDS	CDS	CDS	CDS	CDS	CDS	3UTR	3UTR	CDS
NCBI_geneId	9451	5747	9833	5286	7803	8780	10020	5230	223
1050	0.9963019	-0.09136093	-0.2741296	0.9272029	3.984237	1.003323	0.2869075	-0.372687	2.685423
9491	-0.3986928	0.144712	0.0328446	-1.615241	1.291778	0.3208171	-0.5257762	-0.6199365	0.6859802
22926	-0.2498229	0.6645448	0.1125149	1.560287	-0.430313	0.8229772	0.561429	1.423227	-0.848487
5899	-0.6275784	0.2207165	-0.3465207	-0.4587471	3.470695	0.8719527	0.1852946	-1.617436	-0.8264679
5467	-0.1454359	-0.1624748	0.2716186	-0.3914897	3.9243	0.4706061	-0.2184809	-0.1137887	2.738147
6774	0.3619424	-0.5852476	0.03121482	-0.1854655	-1.185514	-1.100322	0.1870069	0.8901203	0.8070935
1788	-0.3503883	-1.072581	0.7182811	-0.9085166	1.847657	-0.5999064	0.3337314	-0.5009949	-0.007804543
5921	3.174441	0.3101042	0.1870846	0.2168552	2.330029	-0.0745367	-0.8188512	-0.5526365	0.2600634
5721	0.7019778	0.4658972	-1.458822	0.4780895	-2.193718	0.8154941	0.528609	0.1467191	-0.6983354
2263	-0.2037947	-0.822626	0.06182957	-1.486418	0.250374	-0.55097	-0.1530593	-0.5799319	0.08242961
808	-1.051802	-1.25337	0.2527315	-1.116655	1.333798	-0.5313171	0.07269931	-1.393389	0.136091
30001	-0.04693998	1.250622	-1.154715	-1.594891	-0.2801517	0.6709561	0.6192031	1.326795	0.8834637
348	-0.04432724	-1.336928	0.516155	-0.1802874	1.952529	-1.410625	-0.1463913	0.1486096	-1.485552
30849	0.7384231	0.002382666	-0.3872315	-0.01510942	-0.5119559	1.115994	-0.5022367	0.6382552	-1.261996
1454	0.4226739	0.8683257	0.7317666	-0.3882945	0.7651272	1.364636	0.1354222	0.05305091	-0.06775252
6500	-0.06142965	0.4865301	-0.483567	3.817068	0.9838843	-1.260085	0.9850935	1.446606	4.537448
5627	0.688192	0.7069184	0.2983376	-1.428331	2.230076	-0.2654354	3.04273	1.196285	-0.9578072
5715	0.4716547	0.7414123	0.1990492	0.1240554	-3.566941	0.3407005	-0.9018223	0.6326357	-1.981158
4791	0.06711546	-0.3820181	-0.9071767	1.28575	3.164393	-0.537513	-0.3395828	-1.070955	4.847523
56924	0.7609636	-0.481884	-0.5741901	1.048179	0.9105996	0.1739087	0.195237	-0.9718545	3.7842
2690	1.173638	0.197657	-0.175845	0.6248833	8.441692	0.6639649	3.494677	-1.002297	0.6443493
1019	-0.2171521	-2.012504	0.4416994	0.2833465	-1.499344	-0.72201	-1.106978	0.1333551	-0.1922349
51422	-0.7621337	0.1127919	0.5492259	-0.4319163	-0.03858829	-0.7211966	2.0599	0.5172801	0.01877485
5788	0.448861	0.4546009	-0.1756602	-1.48842	1.881699	0.2172388	-0.6992944	-0.4767523	-0.7126825
6709	0.3718837	0.6926104	-0.4854287	1.872456	-0.6326213	0.8840195	0.07156575	1.104238	-1.842438
1277	-0.3950712	0.3334932	-0.63442	-0.2117622	1.657763	0.3610301	-0.3019555	-0.6313197	-1.115696
993	-0.03787652	1.11239	-0.4281778	1.896984	-1.287455	0.1461698	-0.3246498	0.795557	0.9574363
7157	1.180383	-0.08369042	0.2264381	1.363417	-1.247805	0.7640119	-0.1680921	0.6340113	0.222729
1958	0.5950413	0.4523863	0.0695809	-0.1393143	0.8807282	-0.5923721	-0.1204555	0.4262146	1.379135
4582	0.274373	0.3308148	0.04241289	0.847948	-1.392403	-0.7587235	0.5336156	0.6064157	-0.5769533
9212	-0.08221057	-0.4094399	0.3081764	-1.33556	2.153019	0.06388806	-0.7133012	-0.1617929	-0.08822665
8440	-0.8088173	-0.6269251	0.1827004	-0.2546706	-0.8935843	0.2637905	-0.7272307	-0.4849544	-0.6588358
