genesymbol	entrezgene	A549_LUNG	HCC515_LUNG
ABHD3	171586	0.434801251879051	0.184195437705874
ABHD4	63874	0.553348612172142	0.316756614669328
ABHD5	51099	-0.0864108693330705	-0.116281820646147
ABHD6	57406	-0.282617445805302	0.0431766841634014
ABHD8	79575	-0.330031132687679	0.0416389429672162
ABI1	10006	0.142640281919219	-0.110180142438207
ABI2	10152	-0.177012740580103	-0.288876841059004
ABI3	51225	-0.423688771696362	-0.153348612172142
ABI3BP	25890	-0.34793530315352	-0.029412586148829
ABL1	25	-0.159253144072878	-0.125918989296598
ABL2	27	-0.205349236468781	-0.296995983143991
ABLIM1	3983	0.172866096585262	0.267631040686069
ABLIM2	84448	0.131291226167887	0.246625101653565
ABLIM3	22885	-0.237697659709045	0.0208038640676212
ABO	28	-0.0714737507906388	0.168374446552815
ABP1	26	0.214161676400766	0.371454857602865
ABR	29	-0.359583364137444	-0.136840894715658
ABRA	137735	NA	NA
ABT1	29777	0.293513065050067	0.0579002275396962
ABTB1	80325	-0.219849347363579	0.136886895520672
ABTB2	25841	-0.097092913411699	-0.182759555435077
ACAA1	30	0.0810057747439152	0.329367406786762
ACAA2	10449	0.474246942178631	0.300071465536361
ACACA	31	-0.0313774776772879	-0.0928904112964834
ACACB	32	-0.242800463293822	0.0411395056556347
ACAD10	80724	0.236383350994357	0.250591028200136
ACAD11	84129	-0.384896949982339	-0.0348439669122781
ACAD8	27034	-0.416561932690965	-0.0451317183765002
ACAD9	28976	-0.00657975800290791	-0.204590223186049
ACADL	33	-0.165289106845084	0.157925692271043
ACADM	34	0.362047692977484	0.223509697133986
ACADS	35	0.199786424833863	0.349742477636216
ACADSB	36	0.115118657433648	0.281020560716955
ACADVL	37	0.165887117310267	0.350672351051858
ACAN	176	-0.107604097357418	-0.0600556938317849
ACAP1	9744	-0.461491576102582	-0.146464920278962
ACAP2	23527	-0.313723847310185	-0.357027033687375
ACAP3	116983	-0.24164058585311	0.00041565013102015
ACAT1	38	0.176809022729326	0.24230102598224
ACAT2	39	0.432977648537421	0.154577490820375
ACBD3	64746	0.0169759399360917	0.0134240206346468
ACBD4	79777	-0.0509508202107823	0.307293591923573
ACBD5	91452	0.391984359726295	0.122846792676015
ACBD6	84320	0.43677600072287	0.177604179501713
ACBD7	414149	-0.193211595488635	-0.439082612517148
ACCN1	40	-0.192459153749476	0.076586411690776
ACCN2	41	-0.00158538488709267	-0.114878796093217
ACCN3	9311	-0.280961416824794	0.0214577326531786
ACCN4	55515	-0.372062725383409	-0.0633447513902922
ACCN5	51802	NA	NA
ACCS	84680	-0.225382587052416	0.135641588013505
ACCSL	390110	NA	NA
ACD	65057	-0.119643165183962	-0.132079811396699
ACE	1636	-0.401539384082079	-0.0628617429376443
ACE2	59272	0.0694398580546588	0.319848525920632
ACER1	125981	NA	NA
ACER2	340485	-0.169015172051225	-0.0550317487698892
ACER3	55331	-0.260481201278165	-0.173634967183354
ACHE	43	-0.400280933487765	-0.0797801818674684
ACIN1	22985	-0.14411230767967	-0.0715493235417334
ACLY	47	0.0837855376754808	-0.304155679867255
ACMSD	130013	0.378312263321751	0.452048267987547
ACN9	57001	0.377687966682274	0.124489678569375
ACO1	48	-0.321330408996443	-0.189498673369641
ACO2	50	0.128948470883955	0.297820711862458
ACOT1	641371	0.165154390201829	0.32437960521452
ACOT11	26027	0.097704066964029	0.130604499864462
ACOT12	134526	NA	NA
ACOT13	55856	0.442430813967816	0.231773413177588
ACOT2	10965	0.035855984622588	0.303790959198929
ACOT4	122970	0.264345268899349	0.131731519587307
ACOT6	641372	0.216142996788158	0.159585007023337
ACOT7	11332	-0.0652702136573104	-0.290358724134815
ACOT8	10005	0.178586625265942	0.129401907390522
ACOT9	23597	0.0888751981731109	0.00651075679538678
ACOX1	51	0.160925601912319	0.250646886320511
ACOX2	8309	0.157284966772633	0.313023977919614
ACOX3	8310	-0.0157076320264176	0.209955888513763
ACOXL	55289	-0.322454142947502	0.015185194312329
ACP1	52	0.461448861069354	0.100920837543228
ACP2	53	-0.439384903521526	-0.17663487682463
ACP5	54	-0.282988738017201	0.0342525279906684
ACP6	51205	0.247591118558861	0.306807297699138
ACPL2	92370	-0.0248946499420883	-0.138845215505557
ACPP	55	0.195873070635879	0.152655314325144
ACPT	93650	NA	NA
ACR	49	-0.254579955149215	0.0363225642163024
ACRBP	84519	-0.400254647313471	-0.100483829895595
ACRC	93953	-0.533216688434905	-0.243385330671858
ACRV1	56	NA	NA
ACSBG1	23205	-0.201399738781143	0.107406951050215
ACSBG2	81616	-0.472318194139826	-0.174604269860437
ACSF2	80221	-0.0750749566688846	0.265097710638508
ACSF3	197322	-0.106569079244601	0.229489801785817
ACSL1	2180	-0.447638762249768	-0.0767934153133394
ACSL3	2181	0.390469618932617	0.0248913641703016
ACSL4	2182	-0.0780551516794401	0.026790540263026
ACSL5	51703	-0.0417933742411921	0.162949637332939
ACSL6	23305	-0.444628995293132	-0.199733852485276
ACSM1	116285	-0.0918356785529461	0.234362601345524
ACSM2A	123876	NA	NA
ACSM2B	348158	NA	NA
ACSM3	6296	0.115798812193499	0.318915366733204
ACSM4	341392	NA	NA
ACSM5	54988	-0.380273869078423	-0.0324289246490385
ACSS1	84532	-0.162841206863977	0.153821763309429
ACSS2	55902	-0.305305699992607	0.0426016741007253
