Run,patient
SRR4190036,MMRF_2723_1_BM_CD138pos_T3_TSMRU_L14482
SRR4190041,MMRF_2727_1_BM_CD138pos_T2_TSMRU_L14988
SRR4190046,MMRF_2728_1_BM_CD138pos_T2_TSMRU_L14998
SRR4190051,MMRF_2729_1_BM_CD138pos_T2_TSMRU_L14999
SRR4190060,MMRF_2731_1_BM_CD138pos_T2_TSMRU_L14989
SRR4190065,MMRF_2732_1_BM_CD138pos_T2_TSMRU_L14990
SRR4190070,MMRF_2733_1_BM_CD138pos_T2_TSMRU_L14991
SRR4190075,MMRF_2734_1_BM_CD138pos_T2_TSMRU_L14992
SRR4190082,MMRF_2737_1_BM_CD138pos_T2_TSMRU_L14993
SRR4190091,MMRF_2739_1_BM_CD138pos_T2_TSMRU_L15000
SRR4190096,MMRF_2740_1_BM_CD138pos_T2_TSMRU_L14994
SRR4190101,MMRF_2742_1_BM_CD138pos_T2_TSMRU_L15001
SRR4190106,MMRF_2743_1_BM_CD138pos_T2_TSMRU_L15002
SRR4190111,MMRF_2745_1_BM_CD138pos_T2_TSMRU_L15003
SRR4190116,MMRF_2746_1_BM_CD138pos_T2_TSMRU_L15004
SRR4190119,MMRF_2749_1_BM_CD138pos_T1_TSMRU_L15005
SRR4190123,MMRF_2750_1_BM_CD138pos_T2_TSMRU_L15006
SRR4190128,MMRF_2751_1_BM_CD138pos_T2_TSMRU_L15007
SRR4190141,MMRF_2754_1_BM_CD138pos_T2_TSMRU_L14987
SRR4190154,MMRF_2757_1_BM_CD138pos_T2_TSMRU_L14995
SRR5497046,MMRF_2760_1_BM_CD138pos_T2_TSMRU_L16016
SRR5497051,MMRF_2761_1_BM_CD138pos_T2_TSMRU_L16017
SRR5497056,MMRF_2762_1_BM_CD138pos_T2_TSMRU_L16018
SRR5497061,MMRF_2763_1_BM_CD138pos_T2_TSMRU_L16019
SRR5497066,MMRF_2764_1_BM_CD138pos_T2_TSMRU_L16020
SRR5497075,MMRF_2767_1_BM_CD138pos_T2_TSMRU_L16021
SRR5497084,MMRF_2769_1_BM_CD138pos_T2_TSMRU_L16022
SRR5497089,MMRF_2770_1_BM_CD138pos_T2_TSMRU_L16023
SRR5497094,MMRF_2772_1_BM_CD138pos_T2_TSMRU_L16024
SRR5497099,MMRF_2774_1_BM_CD138pos_T2_TSMRU_L16025
SRR5497108,MMRF_2776_1_BM_CD138pos_T2_TSMRU_L16026
SRR5497113,MMRF_2778_1_BM_CD138pos_T2_TSMRU_L16027
SRR5497118,MMRF_2779_1_BM_CD138pos_T2_TSMRU_L16028
SRR5497123,MMRF_2781_1_BM_CD138pos_T2_TSMRU_L16029
SRR5497128,MMRF_2782_1_BM_CD138pos_T2_TSMRU_L16030
SRR5497133,MMRF_2787_1_BM_CD138pos_T2_TSMRU_L16031
SRR5497138,MMRF_2788_1_BM_CD138pos_T2_TSMRU_L16032
SRR5497143,MMRF_2789_1_BM_CD138pos_T2_TSMRU_L16033
SRR5497152,MMRF_2793_1_BM_CD138pos_T2_TSMRU_L16034
SRR5497157,MMRF_2794_1_BM_CD138pos_T2_TSMRU_L16035
SRR5497162,MMRF_2795_1_BM_CD138pos_T2_TSMRU_L16036
SRR5497169,MMRF_2799_1_BM_CD138pos_T2_TSMRU_L16038
SRR5497174,MMRF_2801_1_BM_CD138pos_T2_TSMRU_L16037
SRR5497183,MMRF_2807_1_BM_CD138pos_T2_TSMRU_L16039
SRR5497188,MMRF_2808_1_BM_CD138pos_T2_TSMRU_L16040
SRR5497197,MMRF_2813_1_BM_CD138pos_T2_TSMRU_L16041
SRR5497202,MMRF_2814_1_BM_CD138pos_T2_TSMRU_L16042
SRR5497207,MMRF_2815_1_BM_CD138pos_T2_TSMRU_L16043
SRR5497212,MMRF_2816_1_BM_CD138pos_T2_TSMRU_L16044
SRR5497217,MMRF_2817_1_BM_CD138pos_T2_TSMRU_L16045
SRR5497222,MMRF_2818_1_BM_CD138pos_T2_TSMRU_L16046
SRR5497231,MMRF_2820_1_BM_CD138pos_T2_TSMRU_L16047
SRR5497240,MMRF_2822_1_BM_CD138pos_T2_TSMRU_L16048
SRR5497249,MMRF_2826_1_BM_CD138pos_T3_TSMRU_L16372
SRR5497254,MMRF_2827_1_BM_CD138pos_T3_TSMRU_L16371
SRR5497259,MMRF_2828_1_BM_CD138pos_T3_TSMRU_L16373
SRR5497264,MMRF_2829_1_BM_CD138pos_T3_TSMRU_L16375
SRR5497269,MMRF_2830_1_BM_CD138pos_T3_TSMRU_L16376
SRR5497274,MMRF_2831_1_BM_CD138pos_T3_TSMRU_L16370
SRR5497279,MMRF_2832_1_BM_CD138pos_T3_TSMRU_L16377
SRR5497288,MMRF_2834_1_BM_CD138pos_T3_TSMRU_L16374
SRR5497297,MMRF_2836_1_BM_CD138pos_T3_TSMRU_L16378
SRR5497313,MMRF_2843_1_BM_CD138pos_T3_TSMRU_L16379
SRR5497319,MMRF_2847_1_BM_CD138pos_T3_TSMRU_L16381
SRR5497324,MMRF_2848_1_BM_CD138pos_T3_TSMRU_L16380
SRR5497329,MMRF_2851_1_BM_CD138pos_T3_TSMRU_L16382
SRR5497334,MMRF_2853_1_BM_CD138pos_T3_TSMRU_L16383
