Run,patient
SRR1606189,MMRF_1344_1_BM_CD138pos_T3_TSMRU_L00390
SRR4189489,MMRF_1346_1_BM_CD138pos_T1_TSMRU_L13124
SRR1606190,MMRF_1348_1_BM_CD138pos_T3_TSMRU_L01043
SRR1567028,MMRF_1349_1_BM_CD138pos_T3_TSMRU_L01345
SRR1606191,MMRF_1352_1_BM_CD138pos_T3_TSMRU_L00397
SRR1606192,MMRF_1354_1_BM_CD138pos_T3_TSMRU_L00389
SRR1567029,MMRF_1355_1_BM_CD138pos_T2_TSMRU_L01871
SRR1606193,MMRF_1356_1_BM_CD138pos_T3_TSMRU_L01033
SRR1567030,MMRF_1358_1_BM_CD138pos_T1_TSMRU_L02337
SRR1606194,MMRF_1359_1_BM_CD138pos_T3_TSMRU_L00403
SRR1606195,MMRF_1360_1_BM_CD138pos_T3_TSMRU_L00808
SRR1567031,MMRF_1361_1_BM_CD138pos_T2_TSMRU_L01872
SRR3163504,MMRF_1364_1_BM_CD138pos_T3_TSMRU_L00804
SRR1606196,MMRF_1365_1_BM_CD138pos_T3_TSMRU_L00811
SRR1606197,MMRF_1371_1_BM_CD138pos_T3_TSMRU_L00809
SRR4189490,MMRF_1373_1_BM_CD138pos_T1_TSMRU_L13125
SRR4189491,MMRF_1374_1_BM_CD138pos_T1_TSMRU_L13126
SRR1606198,MMRF_1377_1_BM_CD138pos_T3_TSMRU_L00807
SRR1606199,MMRF_1380_1_BM_CD138pos_T3_TSMRU_L00398
SRR1606200,MMRF_1383_1_BM_CD138pos_T3_TSMRU_L00805
SRR1606201,MMRF_1386_1_BM_CD138pos_T3_TSMRU_L00802
SRR1606202,MMRF_1388_1_BM_CD138pos_T3_TSMRU_L00400
SRR1606203,MMRF_1389_1_BM_CD138pos_T3_TSMRU_L00399
SRR1606204,MMRF_1391_1_BM_CD138pos_T3_TSMRU_L00402
SRR1567033,MMRF_1392_1_BM_CD138pos_T3_TSMRU_L01341
SRR1567034,MMRF_1393_1_BM_CD138pos_T3_TSMRU_L01343
SRR1606205,MMRF_1395_1_BM_CD138pos_T3_TSMRU_L00401
SRR1567035,MMRF_1401_1_BM_CD138pos_T3_TSMRU_L01866
SRR1606207,MMRF_1403_1_BM_CD138pos_T3_TSMRU_L00392
SRR4189492,MMRF_1407_1_BM_CD138pos_T8_TSMRU_L13128
SRR1606208,MMRF_1408_1_BM_CD138pos_T3_TSMRU_L00394
SRR1567036,MMRF_1413_1_BM_CD138pos_T3_TSMRU_L01342
SRR4189497,MMRF_1415_1_BM_CD138pos_T1_TSMRU_L13135
SRR2128808,MMRF_1423_1_BM_CD138pos_T2_TSMRU_L05242
SRR1567037,MMRF_1424_1_BM_CD138pos_T3_TSMRU_L01331
SRR1567038,MMRF_1425_1_BM_CD138pos_T3_TSMRU_L01332
SRR1567039,MMRF_1426_1_BM_CD138pos_T3_TSMRU_L01323
SRR1567040,MMRF_1432_1_BM_CD138pos_T3_TSMRU_L01346
SRR1567041,MMRF_1433_1_BM_CD138pos_T3_TSMRU_L01327
SRR1567042,MMRF_1434_1_BM_CD138pos_T3_TSMRU_L01328
SRR1567043,MMRF_1436_1_BM_CD138pos_T3_TSMRU_L01329
SRR1567044,MMRF_1439_1_BM_CD138pos_T3_TSMRU_L01333
SRR1567045,MMRF_1445_1_BM_CD138pos_T3_TSMRU_L01326
SRR1567046,MMRF_1446_1_BM_CD138pos_T3_TSMRU_L01324
SRR1567047,MMRF_1447_1_BM_CD138pos_T3_TSMRU_L01325
SRR1567048,MMRF_1450_1_BM_CD138pos_T3_TSMRU_L01334
SRR1567049,MMRF_1451_1_BM_CD138pos_T3_TSMRU_L01335
SRR4189500,MMRF_1452_1_BM_CD138pos_T1_TSMRU_L13138
SRR1567050,MMRF_1453_1_BM_CD138pos_T1_TSMRU_L02342
SRR1567051,MMRF_1454_1_BM_CD138pos_T3_TSMRU_L01336
SRR4189501,MMRF_1455_1_BM_CD138pos_T1_TSMRU_L13139
SRR4189503,MMRF_1458_1_BM_CD138pos_T1_TSMRU_L13141
SRR1567052,MMRF_1460_1_BM_CD138pos_T3_TSMRU_L01337
SRR1567053,MMRF_1461_1_BM_CD138pos_T3_TSMRU_L01338
SRR1567054,MMRF_1462_1_BM_CD138pos_T1_TSMRU_L02343
SRR1567055,MMRF_1466_1_BM_CD138pos_T3_TSMRU_L01322
SRR4189496,MMRF_1470_1_BM_CD138pos_T1_TSMRU_L13134
SRR1567056,MMRF_1474_1_BM_CD138pos_T3_TSMRU_L01869
SRR4189504,MMRF_1475_1_BM_CD138pos_T1_TSMRU_L13142
SRR1567057,MMRF_1478_1_BM_CD138pos_T3_TSMRU_L01867
SRR1567058,MMRF_1484_1_BM_CD138pos_T2_TSMRU_L02824
SRR1567059,MMRF_1485_1_BM_CD138pos_T1_TSMRU_L02332
SRR1567060,MMRF_1489_1_BM_CD138pos_T3_TSMRU_L01868
SRR4189505,MMRF_1490_1_BM_CD138pos_T1_TSMRU_L13144
SRR1567061,MMRF_1491_1_BM_CD138pos_T1_TSMRU_L02333
SRR4189506,MMRF_1494_1_BM_CD138pos_T1_TSMRU_L13145
SRR1567063,MMRF_1496_1_BM_CD138pos_T14_TSMRU_L03473
SRR1567064,MMRF_1497_1_BM_CD138pos_T2_TSMRU_L02823
SRR3163625,MMRF_1499_1_BM_CD138pos_T1_TSMRU_L02345
SRR1567065,MMRF_1501_1_BM_CD138pos_T1_TSMRU_L02344
SRR1567066,MMRF_1502_1_BM_CD138pos_T1_TSMRU_L02336
SRR4189494,MMRF_1504_1_BM_CD138pos_T1_TSMRU_L13132
SRR1567067,MMRF_1506_1_BM_CD138pos_T2_TSMRU_L02830
SRR1567069,MMRF_1510_1_BM_CD138pos_T2_TSMRU_L02829
SRR1567070,MMRF_1511_1_BM_CD138pos_T2_TSMRU_L02828
SRR2128809,MMRF_1512_1_BM_CD138pos_T2_TSMRU_L04220
SRR4189495,MMRF_1513_1_BM_CD138pos_T1_TSMRU_L13133
SRR1567071,MMRF_1516_1_BM_CD138pos_T2_TSMRU_L02827
SRR1567072,MMRF_1519_1_BM_CD138pos_T2_TSMRU_L02826
SRR2128810,MMRF_1520_1_BM_CD138pos_T2_TSMRU_L05319
SRR1567073,MMRF_1522_1_BM_CD138pos_T3_TSMRU_L03444
SRR2128811,MMRF_1523_1_BM_CD138pos_T3_TSMRU_L04980
SRR1567074,MMRF_1531_1_BM_CD138pos_T3_TSMRU_L03445
SRR1567075,MMRF_1534_1_BM_CD138pos_T3_TSMRU_L03446
SRR2129719,MMRF_1537_1_BM_CD138pos_T2_TSMRU_L05998
SRR1567076,MMRF_1538_1_BM_CD138pos_T2_TSMRU_L02838
SRR1567077,MMRF_1539_1_BM_CD138pos_T3_TSMRU_L03447
SRR1567078,MMRF_1540_1_BM_CD138pos_T3_TSMRU_L03448
SRR2129720,MMRF_1541_1_BM_CD138pos_T2_TSMRU_L05983
SRR1567079,MMRF_1542_1_BM_CD138pos_T3_TSMRU_L03449
SRR2128812,MMRF_1543_1_BM_CD138pos_T2_TSMRU_L03885
SRR4189168,MMRF_1546_1_BM_CD138pos_T2_TSMRU_L12455
SRR1567080,MMRF_1550_1_BM_CD138pos_T3_TSMRU_L03450
SRR1567081,MMRF_1556_1_BM_CD138pos_T2_TSMRU_L02839
SRR1567082,MMRF_1560_1_BM_CD138pos_T3_TSMRU_L03451
SRR2128813,MMRF_1565_1_BM_CD138pos_T2_TSMRU_L05328
SRR1567083,MMRF_1570_1_BM_CD138pos_T3_TSMRU_L03452
SRR1567084,MMRF_1572_1_BM_CD138pos_T3_TSMRU_L03454
SRR1567085,MMRF_1573_1_BM_CD138pos_T3_TSMRU_L03453
SRR1567086,MMRF_1574_1_BM_CD138pos_T3_TSMRU_L03455
SRR1567087,MMRF_1577_1_BM_CD138pos_T3_TSMRU_L03456
SRR1567088,MMRF_1579_1_BM_CD138pos_T3_TSMRU_L03457
SRR1567089,MMRF_1580_1_BM_CD138pos_T3_TSMRU_L03458
SRR1567090,MMRF_1583_1_BM_CD138pos_T3_TSMRU_L03459
SRR3163642,MMRF_1584_1_BM_CD138pos_T1_TSMRU_L05243
SRR1567091,MMRF_1586_1_BM_CD138pos_T3_TSMRU_L03460
SRR1567092,MMRF_1587_1_BM_CD138pos_T3_TSMRU_L03461
SRR2129721,MMRF_1588_1_BM_CD138pos_T2_TSMRU_L05984
SRR1567093,MMRF_1589_1_BM_CD138pos_T3_TSMRU_L03462
SRR1567094,MMRF_1593_1_BM_CD138pos_T3_TSMRU_L03464
SRR1567095,MMRF_1595_1_BM_CD138pos_T3_TSMRU_L03463
SRR1567096,MMRF_1596_1_BM_CD138pos_T3_TSMRU_L03465
SRR2128814,MMRF_1597_1_BM_CD138pos_T2_TSMRU_L03887
SRR2128815,MMRF_1598_1_BM_CD138pos_T2_TSMRU_L03886
SRR1567097,MMRF_1603_1_BM_CD138pos_T3_TSMRU_L03467
SRR1567098,MMRF_1605_1_BM_CD138pos_T3_TSMRU_L03468
SRR2128816,MMRF_1613_1_BM_CD138pos_T2_TSMRU_L03888
