hgnc_symbol	entrezgene_id	ensembl_gene_id	exp_num_xpr	cell_num_xpr	cell_name_xpr	exp_num_sh	cell_num_sh	cell_name_sh	exp_num_oe	cell_num_oe	cell_name_oe
PDE3A	5139	ENSG00000172572	20	10	MCF7|PC3|U251MG|ES2|YAPC|A549|BICR6|HT29|A375|AGS	NA	NA	NA	NA	NA	NA
PDE3B	5140	ENSG00000152270	20	10	HT29|YAPC|AGS|MCF7|A375|A549|ES2|PC3|BICR6|U251MG	NA	NA	NA	NA	NA	NA
PDE4A	5141	ENSG00000065989	20	10	HT29|A549|ES2|YAPC|U251MG|PC3|BICR6|A375|MCF7|AGS	NA	NA	NA	NA	NA	NA
PDE4B	5142	ENSG00000184588	20	10	ES2|BICR6|PC3|HT29|U251MG|A375|YAPC|MCF7|AGS|A549	NA	NA	NA	NA	NA	NA
PDE4C	5143	ENSG00000105650	20	10	A375|U251MG|A549|HT29|YAPC|PC3|ES2|BICR6|AGS|MCF7	NA	NA	NA	NA	NA	NA
PDE4D	5144	ENSG00000113448	10	10	A375|ES2|PC3|AGS|BICR6|HT29|YAPC|U251MG|MCF7|A549	31	9	YAPC|ES2|BICR6|SNU761|PC3|U251MG|HS944T|A375|NA	9	7	SNU761|AGS|HT29|A549|A375|U251MG|MCF7
PDE4DIP	9659	ENSG00000178104	18	9	U251MG|A549|AGS|HT29|BICR6|YAPC|A375|ES2|PC3	NA	NA	NA	NA	NA	NA
PDE5A	8654	ENSG00000138735	20	10	PC3|ES2|A549|U251MG|A375|BICR6|YAPC|HT29|MCF7|AGS	NA	NA	NA	NA	NA	NA
PDE6A	5145	ENSG00000132915	18	9	AGS|A549|ES2|BICR6|U251MG|HT29|PC3|YAPC|A375	NA	NA	NA	NA	NA	NA
PDE6B	5158	ENSG00000133256	20	10	A549|MCF7|U251MG|PC3|BICR6|A375|HT29|YAPC|ES2|AGS	NA	NA	NA	NA	NA	NA
PDE6G	5148	ENSG00000185527	18	9	A549|HT29|AGS|A375|ES2|U251MG|YAPC|PC3|BICR6	NA	NA	NA	NA	NA	NA
PDE6H	5149	ENSG00000139053	18	9	A375|BICR6|HT29|YAPC|A549|PC3|AGS|ES2|U251MG	NA	NA	NA	NA	NA	NA
PDE7A	5150	ENSG00000205268-bioMart	20	10	A375|AGS|MCF7|YAPC|A549|BICR6|ES2|PC3|U251MG|HT29	NA	NA	NA	NA	NA	NA
PDE7B	27115	ENSG00000171408	20	10	A375|AGS|PC3|U251MG|HT29|A549|ES2|MCF7|BICR6|YAPC	NA	NA	NA	NA	NA	NA
PDE8A	5151	ENSG00000073417	20	10	A549|ES2|U251MG|HT29|BICR6|AGS|A375|MCF7|PC3|YAPC	NA	NA	NA	NA	NA	NA
PDE9A	5152	ENSG00000160191	18	9	A549|A375|PC3|AGS|HT29|U251MG|BICR6|ES2|YAPC	NA	NA	NA	NA	NA	NA
PDGFC	56034	ENSG00000145431	NA	NA	NA	9	5	ES2|AGS|A549|BICR6|PC3	16	10	U251MG|YAPC|A375|KYSE30|PC3|HT29|A549|SNGM|ES2|BICR6
PDGFD	80310	ENSG00000170962	18	9	A549|BICR6|U251MG|A375|YAPC|PC3|AGS|HT29|ES2	NA	NA	NA	NA	NA	NA
PDGFRA	5156	ENSG00000134853	20	10	A375|PC3|HT29|BICR6|YAPC|ES2|AGS|MCF7|A549|U251MG	68	12	SNU761|A375|U251MG|AGS|MCF7|BICR6|PC3|A549|HT29|YAPC|ES2|NA	8	7	PC3|HCC1806|MCF7|ES2|SNU761|A375|BICR6
PDGFRB	5159	ENSG00000113721	10	10	A549|PC3|BICR6|MCF7|YAPC|AGS|A375|HT29|U251MG|ES2	70	14	MCF7|BICR6|YAPC|HS944T|HT29|KELLY|PC3|AGS|A549|A375|KYSE30|HCC1806|U251MG|NA	10	8	U251MG|ES2|A549|IPC298|PC3|HS944T|HT29|YAPC
PDGFRL	5157	ENSG00000104213	20	10	AGS|HT29|A549|A375|BICR6|PC3|YAPC|ES2|U251MG|MCF7	NA	NA	NA	NA	NA	NA
PDHA1	5160	ENSG00000131828	18	9	AGS|U251MG|ES2|PC3|YAPC|HT29|BICR6|A375|A549	24	1	NA	8	6	ES2|AGS|HT29|PC3|YAPC|BICR6
