hgnc_symbol	entrezgene_id	ensembl_gene_id	exp_num_xpr	cell_num_xpr	cell_name_xpr	exp_num_sh	cell_num_sh	cell_name_sh	exp_num_oe	cell_num_oe	cell_name_oe
CDK11A	728642	ENSG00000008128	30	10	U251MG|YAPC|BICR6|MCF7|ES2|A549|AGS|HT29|A375|PC3	5	1	NA	NA	NA	NA
CDK11B	984	bioMart	30	10	A549|BICR6|MCF7|U251MG|A375|HT29|AGS|YAPC|PC3|ES2	55	9	A549|HT29|AGS|PC3|MCF7|A375|U251MG|BICR6|NA	8	7	HT29|DANG|KELLY|PC3|A549|AGS|A375
CDK12	51755	ENSG00000167258	20	10	PC3|A549|U251MG|A375|YAPC|BICR6|MCF7|ES2|AGS|HT29	5	1	NA	NA	NA	NA
CDK13	8621	ENSG00000065883	20	10	HT29|BICR6|MCF7|ES2|A375|A549|U251MG|YAPC|PC3|AGS	10	1	NA	NA	NA	NA
CDK14	5218	ENSG00000058091	20	10	ES2|BICR6|U251MG|YAPC|A375|A549|MCF7|AGS|HT29|PC3	10	1	NA	NA	NA	NA
CDK15	65061	bioMart	20	10	ES2|U251MG|A375|PC3|AGS|HT29|YAPC|MCF7|BICR6|A549	10	1	NA	NA	NA	NA
CDK16	5127	ENSG00000102225	20	10	HT29|BICR6|MCF7|YAPC|PC3|ES2|A549|U251MG|A375|AGS	34	1	NA	8	7	AGS|BICR6|ES2|YAPC|KYSE30|LCLC103H|U251MG
CDK17	5128	ENSG00000059758	20	10	ES2|A549|MCF7|U251MG|YAPC|PC3|AGS|A375|BICR6|HT29	10	1	NA	NA	NA	NA
CDK18	5129	ENSG00000117266	20	10	ES2|YAPC|PC3|HT29|BICR6|A549|AGS|A375|MCF7|U251MG	10	1	NA	NA	NA	NA
CDK19	23097	ENSG00000155111	32	19	HS944T|YAPC|SNU761|A549|A375|AGS|U251MG|ES2|PC3|MCF7|KYSE30|LCLC103H|KELLY|BICR6|HT29|HCC1806|DANG|SNGM|IPC298	47	12	ES2|A549|AGS|PC3|U251MG|YAPC|HT29|MCF7|A375|KYSE30|BICR6|NA	7	5	ES2|BICR6|PC3|KYSE30|A549
CDK2	1017	ENSG00000123374	108	20	HCC44|A549|ES2|IPC298|AGS|KELLY|DANG|PC3|LCLC103H|A375|HS944T|MCF7|HT29|HCC1806|KYSE30|YAPC|SNU761|SNGM|U251MG|BICR6	226	20	HCC44|A549|A375|DLD1|YAPC|U251MG|HT29|KELLY|BICR6|LCLC103H|IPC298|PC3|MCF7|ES2|SNGM|AGS|HCC1806|DANG|SNU761|NA	4	2	HCC44|ES2
CDK20	23552	ENSG00000156345	20	10	A549|A375|HT29|BICR6|PC3|ES2|U251MG|AGS|YAPC|MCF7	9	1	NA	NA	NA	NA
CDK3	1018	ENSG00000250506	20	10	YAPC|BICR6|AGS|HT29|MCF7|A375|A549|ES2|U251MG|PC3	20	1	NA	NA	NA	NA
CDK4	1019	ENSG00000135446	70	20	ES2|A549|HCC44|HCC1806|PC3|BICR6|YAPC|SNGM|MCF7|KYSE30|HT29|U251MG|AGS|A375|IPC298|KELLY|HS944T|LCLC103H|DANG|SNU761	86	17	A375|ES2|DLD1|HT29|PC3|AGS|YAPC|BICR6|U251MG|IPC298|SNGM|MCF7|KYSE30|SNU761|HCC1806|A549|NA	9	6	A375|AGS|YAPC|ES2|U251MG|KELLY
CDK5	1020	ENSG00000164885	NA	NA	NA	56	12	HT29|U251MG|BICR6|PC3|A375|ES2|AGS|SNGM|LCLC103H|YAPC|MCF7|NA	10	6	HT29|AGS|A375|MCF7|BICR6|U251MG
CDK5R1	8851	ENSG00000176749	NA	NA	NA	5	1	NA	NA	NA	NA
