ID	Geneid	hgnc_symbol	entrezgene_id	biotype
MTRNR2L6 (100463482)	ENSG00000270672	MTRNR2L6	100463482	protein_coding
MTRNR2L8 (100463486)	ENSG00000255823	MTRNR2L8	100463486	protein_coding
MTRNR2L10 (100463488)	ENSG00000256045	MTRNR2L10	100463488	protein_coding
CST8 (10047)	ENSG00000125815	CST8	10047	protein_coding
RANBP9 (10048)	ENSG00000010017	RANBP9	10048	protein_coding
DNAJB6 (10049)	ENSG00000105993	DNAJB6	10049	protein_coding
CCDC180 (100499483)	ENSG00000197816	CCDC180	100499483	protein_coding
CDH7 (1005)	ENSG00000081138	CDH7	1005	protein_coding
SLC17A4 (10050)	ENSG00000146039	SLC17A4	10050	protein_coding
CCDC179 (100500938)	ENSG00000255359	CCDC179	100500938	protein_coding
LRRC3C (100505591)	ENSG00000204913	LRRC3C	100505591	protein_coding
KRTAP9-7 (100505724)	ENSG00000180386	KRTAP9-7	100505724	protein_coding
KRTAP16-1 (100505753)	ENSG00000212657	KRTAP16-1	100505753	protein_coding
TMEM210 (100505993)	ENSG00000185863	TMEM210	100505993	protein_coding
LRRC72 (100506049)	ENSG00000205858	LRRC72	100506049	protein_coding
TMEM35B (100506144)	ENSG00000243749	TMEM35B	100506144	protein_coding
KRBOX1 (100506243)	ENSG00000240747	KRBOX1	100506243	protein_coding
THEGL (100506564)	ENSG00000249693	THEGL	100506564	protein_coding
C16orf95 (100506581)	ENSG00000260456	C16orf95	100506581	protein_coding
OCLN (100506658)	ENSG00000197822	OCLN	100506658	protein_coding
SLFN12L (100506736)	ENSG00000205045	SLFN12L	100506736	protein_coding
ELOA3D (100506888)	ENSG00000288616	ELOA3D	100506888	protein_coding
GFY (100507003)	ENSG00000261949	GFY	100507003	protein_coding
TPBGL (100507050)	ENSG00000261594	TPBGL	100507050	protein_coding
SMLR1 (100507203)	ENSG00000256162	SMLR1	100507203	protein_coding
ZNF865 (100507290)	ENSG00000261221	ZNF865	100507290	protein_coding
SMIM18 (100507341)	ENSG00000253457	SMIM18	100507341	protein_coding
