Cell.type,Immunity,Name_in_19cell,hgnc_symbol,entrezgene_id,ensembl_gene_id
Gamma delta T cell,Adaptive,T gamma delta,FABP1,2168,ENSG00000163586
Gamma delta T cell,Adaptive,T gamma delta,CDK5,1020,ENSG00000164885
Gamma delta T cell,Adaptive,T gamma delta,CD36,948,ENSG00000135218
Gamma delta T cell,Adaptive,T gamma delta,CD33,945,ENSG00000105383
Gamma delta T cell,Adaptive,T gamma delta,AQP9,366,ENSG00000103569
Gamma delta T cell,Adaptive,T gamma delta,ACP5,54,ENSG00000102575
Immature dendritic cell,Innate,Immature dendritic cells,ATP5A1,498,ENSG00000152234
Immature dendritic cell,Innate,Immature dendritic cells,LILRA5,353514,ENSG00000187116
Immature dendritic cell,Innate,Immature dendritic cells,C1orf162,128346,ENSG00000143110
Immature dendritic cell,Innate,Immature dendritic cells,RRAGD,58528,ENSG00000025039
Immature dendritic cell,Innate,Immature dendritic cells,RAB38,23682,ENSG00000123892
Immature dendritic cell,Innate,Immature dendritic cells,INPP5F,22876,ENSG00000198825
Immature dendritic cell,Innate,Immature dendritic cells,AHCYL1,10768,ENSG00000168710
Immature dendritic cell,Innate,Immature dendritic cells,ALDH1A2,8854,ENSG00000128918
Immature dendritic cell,Innate,Immature dendritic cells,SLC18A2,6571,ENSG00000165646
Immature dendritic cell,Innate,Immature dendritic cells,RDX,5962,ENSG00000137710
Immature dendritic cell,Innate,Immature dendritic cells,PLAU,5328,ENSG00000122861
Immature dendritic cell,Innate,Immature dendritic cells,TACSTD2,4070,ENSG00000184292
Immature dendritic cell,Innate,Immature dendritic cells,CSF3R,1441,ENSG00000119535
Immature dendritic cell,Innate,Immature dendritic cells,CLTB,1212,ENSG00000175416
Immature dendritic cell,Innate,Immature dendritic cells,CAPZA1,829,ENSG00000116489
Immature dendritic cell,Innate,Immature dendritic cells,ATIC,471,ENSG00000138363
Immature dendritic cell,Innate,Immature dendritic cells,ARL1,400,ENSG00000120805
Immature dendritic cell,Innate,Immature dendritic cells,AMT,275,ENSG00000145020
Immature dendritic cell,Innate,Immature dendritic cells,AMPD2,271,ENSG00000116337
Immature dendritic cell,Innate,Immature dendritic cells,ALOX15,246,ENSG00000161905
Immature dendritic cell,Innate,Immature dendritic cells,ALDH3A2,224,ENSG00000072210
Immature dendritic cell,Innate,Immature dendritic cells,ALDH9A1,223,ENSG00000143149
Immature dendritic cell,Innate,Immature dendritic cells,ACADM,34,ENSG00000117054
Mast cell,Innate,Mast cells activated,ARHGAP15,55843,ENSG00000075884
Mast cell,Innate,Mast cells activated,PILRA,29992,ENSG00000085514
Mast cell,Innate,Mast cells activated,SIGLEC8,27181,ENSG00000105366
Mast cell,Innate,Mast cells activated,ADAMTS3,9508,ENSG00000156140
Mast cell,Innate,Mast cells activated,SLC6A4,6532,ENSG00000108576
Mast cell,Innate,Mast cells activated,S100A4,6275,ENSG00000196154
Mast cell,Innate,Mast cells activated,RNASE3,6037,ENSG00000169397
Mast cell,Innate,Mast cells activated,PTGS2,5743,ENSG00000073756
Mast cell,Innate,Mast cells activated,ITGA9,3680,ENSG00000144668
Mast cell,Innate,Mast cells activated,HSPA6,3310,ENSG00000173110
Mast cell,Innate,Mast cells activated,FTL,2512,ENSG00000087086
Mast cell,Innate,Mast cells activated,FCN1,2219,ENSG00000085265
Mast cell,Innate,Mast cells activated,EGR3,1960,ENSG00000179388
Mast cell,Innate,Mast cells activated,CTSG,1511,ENSG00000100448
Mast cell,Innate,Mast cells activated,CPM,1368,ENSG00000135678
Mast cell,Innate,Mast cells activated,CPA3,1359,ENSG00000163751
Mast cell,Innate,Mast cells activated,CMA1,1215,ENSG00000092009
Monocyte,Innate,Monocytes,EMR4P,326342,ENSG00000268758
Monocyte,Innate,Monocytes,MARCKSL1,65108,ENSG00000175130
Monocyte,Innate,Monocytes,TEX264,51368,ENSG00000164081
Monocyte,Innate,Monocytes,PNPLA6,10908,ENSG00000032444
Monocyte,Innate,Monocytes,IKZF1,10320,ENSG00000185811
Monocyte,Innate,Monocytes,PQBP1,10084,ENSG00000102103
Monocyte,Innate,Monocytes,DAZAP2,9802,ENSG00000183283
Monocyte,Innate,Monocytes,UPK3A,7380,ENSG00000100373
Monocyte,Innate,Monocytes,TMBIM6,7009,ENSG00000139644
Monocyte,Innate,Monocytes,CFP,5199,ENSG00000126759
Monocyte,Innate,Monocytes,MMP15,4324,ENSG00000102996
Monocyte,Innate,Monocytes,MBP,4155,ENSG00000197971
Monocyte,Innate,Monocytes,HIVEP2,3097,ENSG00000010818
Monocyte,Innate,Monocytes,CTBS,1486,ENSG00000117151
