Cell.type,hgnc_symbol,entrezgene_id,ensembl_gene_id,name
Natural killer cell,CRTAM,56253,ENSG00000109943,NK_pmid28052254
Natural killer cell,DLL4,54567,ENSG00000128917,NK_pmid28052254
Natural killer cell,FZR1,51343,ENSG00000105325,NK_pmid28052254
Natural killer cell,F11R,50848,ENSG00000158769,NK_pmid28052254
Natural killer cell,GLS2,27165,ENSG00000135423,NK_pmid28052254
Natural killer cell,KANK2,25959,ENSG00000197256,NK_pmid28052254
Natural killer cell,FSTL1,11167,ENSG00000163430,NK_pmid28052254
Natural killer cell,LDB3,11155,ENSG00000122367,NK_pmid28052254
Natural killer cell,AKT3,10000,ENSG00000117020,NK_pmid28052254
Natural killer cell,CYTH1,9267,ENSG00000108669,NK_pmid28052254
Natural killer cell,FGF18,8817,ENSG00000156427,NK_pmid28052254
Natural killer cell,LST1,7940,ENSG00000204482,NK_pmid28052254
Natural killer cell,IGFBP5,3488,ENSG00000115461,NK_pmid28052254
Natural killer cell,CXCL1,2919,ENSG00000163739,NK_pmid28052254
Natural killer cell,GRB2,2885,ENSG00000177885,NK_pmid28052254
Natural killer cell,GBP3,2635,ENSG00000117226,NK_pmid28052254
Natural killer cell,FUT5,2527,ENSG00000130383,NK_pmid28052254
Natural killer cell,FUCA1,2517,ENSG00000179163,NK_pmid28052254
Natural killer cell,FN1,2335,ENSG00000115414,NK_pmid28052254
Natural killer cell,FCGR1A,2209,ENSG00000150337,NK_pmid28052254
Natural killer cell,ERBB3,2065,ENSG00000065361,NK_pmid28052254
Natural killer cell,DPYD,1806,ENSG00000188641,NK_pmid28052254
Natural killer cell,DAXX,1616,ENSG00000204209,NK_pmid28052254
Natural killer cell,CTSZ,1522,ENSG00000101160,NK_pmid28052254
Natural killer cell,CSF2RA,1438,ENSG00000198223,NK_pmid28052254
Natural killer cell,CDH2,1000,ENSG00000170558,NK_pmid28052254
Natural killer cell,CDC5L,988,ENSG00000096401,NK_pmid28052254
Natural killer cell,BST2,684,ENSG00000130303,NK_pmid28052254
Natural killer cell,BCL2,596,ENSG00000171791,NK_pmid28052254
Natural killer cell,AXL,558,ENSG00000167601,NK_pmid28052254
Natural killer cell,FASLG,356,ENSG00000117560,NK_pmid28052254
CD8 T cells,ABT1,29777,ENSG00000146109,CD8T_pmid24138885
CD8 T cells,AES,166,ENSG00000104964,CD8T_pmid24138885
CD8 T cells,APBA2,321,ENSG00000034053,CD8T_pmid24138885
CD8 T cells,ARHGAP8,23779,ENSG00000241484,CD8T_pmid24138885
CD8 T cells,C12orf47,51275,ENSG00000234608,CD8T_pmid24138885
CD8 T cells,C19orf6,91304,ENSG00000182087,CD8T_pmid24138885
CD8 T cells,C4orf15,79441,ENSG00000214367,CD8T_pmid24138885
CD8 T cells,CAMLG,819,ENSG00000164615,CD8T_pmid24138885
CD8 T cells,CD8A,925,ENSG00000153563,CD8T_pmid24138885
CD8 T cells,CD8B,926,ENSG00000172116,CD8T_pmid24138885
CD8 T cells,CDKN2AIP,55602,ENSG00000168564,CD8T_pmid24138885
CD8 T cells,DNAJB1,3337,ENSG00000132002,CD8T_pmid24138885
CD8 T cells,FLT3LG,2323,ENSG00000090554,CD8T_pmid24138885
CD8 T cells,GADD45A,1647,ENSG00000116717,CD8T_pmid24138885
CD8 T cells,GZMM,3004,ENSG00000197540,CD8T_pmid24138885
CD8 T cells,KLF9,687,ENSG00000119138,CD8T_pmid24138885
CD8 T cells,LEPROTL1,23484,ENSG00000104660,CD8T_pmid24138885
CD8 T cells,LIME1,54923,ENSG00000203896,CD8T_pmid24138885
CD8 T cells,MYST3,7994,ENSG00000083168,CD8T_pmid24138885
CD8 T cells,PF4,5196,ENSG00000163737,CD8T_pmid24138885
CD8 T cells,PPP1R2,5504,ENSG00000184203,CD8T_pmid24138885
CD8 T cells,PRF1,5551,ENSG00000180644,CD8T_pmid24138885
CD8 T cells,PRR5,55615,ENSG00000186654,CD8T_pmid24138885
CD8 T cells,RBM3,5935,ENSG00000102317,CD8T_pmid24138885
CD8 T cells,SF1,7536,ENSG00000168066,CD8T_pmid24138885
CD8 T cells,SFRS7,6432,ENSG00000115875,CD8T_pmid24138885
CD8 T cells,SLC16A7,9194,ENSG00000118596,CD8T_pmid24138885
CD8 T cells,TBCC,6903,ENSG00000124659,CD8T_pmid24138885
CD8 T cells,THUMPD1,55623,ENSG00000066654,CD8T_pmid24138885
CD8 T cells,TMC6,11322,ENSG00000141524,CD8T_pmid24138885
CD8 T cells,TSC22D3,1831,ENSG00000157514,CD8T_pmid24138885
