Run	Sample	tissue
SRR8518435	FUSCCTNBC059	Primary_breast_tumor_tissue
SRR8518436	FUSCCTNBC324	Paired_normal_breast_tissue
SRR8518437	FUSCCTNBC324	Primary_breast_tumor_tissue
SRR8518438	FUSCCTNBC348	Primary_breast_tumor_tissue
SRR8518439	FUSCCTNBC328	Paired_normal_breast_tissue
SRR8518440	FUSCCTNBC255	Primary_breast_tumor_tissue
SRR8518441	FUSCCTNBC233	Primary_breast_tumor_tissue
SRR8518442	FUSCCTNBC045	Primary_breast_tumor_tissue
SRR8518443	FUSCCTNBC328	Primary_breast_tumor_tissue
SRR8518444	FUSCCTNBC168	Primary_breast_tumor_tissue
SRR8518445	FUSCCTNBC315	Primary_breast_tumor_tissue
SRR8518446	FUSCCTNBC217	Paired_normal_breast_tissue
SRR8518447	FUSCCTNBC360	Paired_normal_breast_tissue
SRR8518448	FUSCCTNBC152	Primary_breast_tumor_tissue
SRR8518449	FUSCCTNBC024	Primary_breast_tumor_tissue
SRR8518450	FUSCCTNBC013	Primary_breast_tumor_tissue
SRR8518451	FUSCCTNBC360	Primary_breast_tumor_tissue
SRR8518452	FUSCCTNBC042	Primary_breast_tumor_tissue
SRR8518453	FUSCCTNBC384	Primary_breast_tumor_tissue
SRR8518454	FUSCCTNBC337	Primary_breast_tumor_tissue
SRR8613773	FUSCCTNBC399	Primary_breast_tumor_tissue
SRR8613744	FUSCCTNBC054	Primary_breast_tumor_tissue
SRR8518392	FUSCCTNBC368	Primary_breast_tumor_tissue
