Run	Sample	tissue
SRR8613755	FUSCCTNBC415	Primary_breast_tumor_tissue
SRR8613756	FUSCCTNBC420	Primary_breast_tumor_tissue
SRR8613757	FUSCCTNBC418	Primary_breast_tumor_tissue
SRR8613758	FUSCCTNBC423	Primary_breast_tumor_tissue
SRR8613759	FUSCCTNBC422	Primary_breast_tumor_tissue
SRR8613760	FUSCCTNBC393	Primary_breast_tumor_tissue
SRR8613761	FUSCCTNBC392	Primary_breast_tumor_tissue
SRR8613762	FUSCCTNBC391	Primary_breast_tumor_tissue
SRR8613763	FUSCCTNBC389	Primary_breast_tumor_tissue
SRR8613764	FUSCCTNBC388	Primary_breast_tumor_tissue
SRR8613765	FUSCCTNBC387	Primary_breast_tumor_tissue
SRR8613766	FUSCCTNBC385	Primary_breast_tumor_tissue
SRR8613767	FUSCCTNBC345	Primary_breast_tumor_tissue
SRR8613768	FUSCCTNBC341	Primary_breast_tumor_tissue
SRR8613769	FUSCCTNBC332	Primary_breast_tumor_tissue
SRR8613770	FUSCCTNBC406	Primary_breast_tumor_tissue
SRR8613771	FUSCCTNBC412	Primary_breast_tumor_tissue
SRR8613772	FUSCCTNBC398	Primary_breast_tumor_tissue
SRR8613774	FUSCCTNBC394	Primary_breast_tumor_tissue
SRR8613775	FUSCCTNBC397	Primary_breast_tumor_tissue
SRR8613776	FUSCCTNBC404	Primary_breast_tumor_tissue
SRR8613777	FUSCCTNBC405	Primary_breast_tumor_tissue
SRR8613778	FUSCCTNBC400	Primary_breast_tumor_tissue
SRR8613779	FUSCCTNBC403	Primary_breast_tumor_tissue
SRR8613780	FUSCCTNBC322	Primary_breast_tumor_tissue
SRR8613781	FUSCCTNBC327	Primary_breast_tumor_tissue
SRR8613782	FUSCCTNBC211	Primary_breast_tumor_tissue
SRR8613783	FUSCCTNBC223	Primary_breast_tumor_tissue
SRR8613784	FUSCCTNBC250	Primary_breast_tumor_tissue
SRR8613785	FUSCCTNBC251	Primary_breast_tumor_tissue
SRR8613786	FUSCCTNBC265	Primary_breast_tumor_tissue
SRR8613787	FUSCCTNBC267	Primary_breast_tumor_tissue
SRR8613788	FUSCCTNBC277	Primary_breast_tumor_tissue
SRR8613789	FUSCCTNBC308	Primary_breast_tumor_tissue
SRR8613790	FUSCCTNBC485	Primary_breast_tumor_tissue
SRR8613791	FUSCCTNBC486	Primary_breast_tumor_tissue
SRR8613792	FUSCCTNBC487	Primary_breast_tumor_tissue
SRR8613793	FUSCCTNBC488	Primary_breast_tumor_tissue
SRR8613794	FUSCCTNBC481	Primary_breast_tumor_tissue
SRR8613795	FUSCCTNBC482	Primary_breast_tumor_tissue
SRR8613796	FUSCCTNBC483	Primary_breast_tumor_tissue
SRR8613797	FUSCCTNBC484	Primary_breast_tumor_tissue
SRR8613798	FUSCCTNBC489	Primary_breast_tumor_tissue
SRR8613799	FUSCCTNBC490	Primary_breast_tumor_tissue
SRR8613800	FUSCCTNBC128	Primary_breast_tumor_tissue
SRR8613801	FUSCCTNBC105	Primary_breast_tumor_tissue
SRR8613802	FUSCCTNBC160	Primary_breast_tumor_tissue
SRR8613803	FUSCCTNBC132	Primary_breast_tumor_tissue
SRR8613804	FUSCCTNBC092	Primary_breast_tumor_tissue
SRR8613805	FUSCCTNBC091	Primary_breast_tumor_tissue
SRR8613806	FUSCCTNBC101	Primary_breast_tumor_tissue
SRR8613807	FUSCCTNBC098	Primary_breast_tumor_tissue
SRR8613808	FUSCCTNBC199	Primary_breast_tumor_tissue
SRR8613809	FUSCCTNBC175	Primary_breast_tumor_tissue
SRR8613810	FUSCCTNBC494	Primary_breast_tumor_tissue
SRR8613811	FUSCCTNBC493	Primary_breast_tumor_tissue
SRR8613812	FUSCCTNBC492	Primary_breast_tumor_tissue
SRR8613813	FUSCCTNBC491	Primary_breast_tumor_tissue
