Cell.type,hgnc_symbol,entrezgene_id,ensembl_gene_id
Angiogenesis,ZNF423,23090,ENSG00000102935
Antigen presenting machinery class,B2M,567,ENSG00000166710
Antigen presenting machinery class,HLA-A,3105,ENSG00000206503
Antigen presenting machinery class,HLA-B,3106,ENSG00000234745
Antigen presenting machinery class,HLA-C,3107,ENSG00000204525
Antigen presenting machinery class,TAP1,6890,ENSG00000168394
Antigen presenting machinery class,TAP2,6891,ENSG00000204267
Antigen presenting machinery class,TAPBP,6892,ENSG00000231925
B cells,ABCB4,5244,ENSG00000005471
B cells,BACH2,60468,ENSG00000112182
B cells,BCL11A,53335,ENSG00000119866
B cells,BLK,640,ENSG00000136573
B cells,BLNK,29760,ENSG00000095585
B cells,CCR9,10803,ENSG00000173585
B cells,CD19,930,ENSG00000177455
B cells,CD72,971,ENSG00000137101
B cells,COCH,1690,ENSG00000100473
B cells,CR2,1380,ENSG00000117322
B cells,DTNB,1838,ENSG00000138101
B cells,FCRL2,79368,ENSG00000132704
B cells,GLDC,2731,ENSG00000178445
B cells,GNG7,2788,ENSG00000176533
B cells,HLA-DOB,3112,ENSG00000241106
B cells,HLA-DQA1,3117,ENSG00000196735
B cells,IGHA1,3493,ENSG00000211895
B cells,IGHG1,3500,ENSG00000211896
B cells,IGHM,3507,ENSG00000211899
B cells,IGKC,3514,ENSG00000211592
B cells,IGL,3542,ENSG00000222037
B cells,KIAA0125,9834,ENSG00000226777
B cells,MEF2C,4208,ENSG00000081189
B cells,MICAL3,57553,ENSG00000243156
B cells,MS4A1,931,ENSG00000156738
B cells,OSBPL10,114884,ENSG00000144645
B cells,PNOC,5368,ENSG00000168081
B cells,QRSL1,55278,ENSG00000130348
B cells,SCN3A,6328,ENSG00000153253
B cells,SLC15A2,6565,ENSG00000163406
B cells,SPIB,6689,ENSG00000269404
B cells,TCL1A,8115,ENSG00000100721
B cells,TNFRSF17,608,ENSG00000048462
CD8 T cells,ABT1,29777,ENSG00000146109
CD8 T cells,AES,166,ENSG00000104964
CD8 T cells,APBA2,321,ENSG00000034053
CD8 T cells,ARHGAP8,23779,ENSG00000241484
CD8 T cells,C12orf47,51275,ENSG00000234608
CD8 T cells,C19orf6,91304,ENSG00000182087
CD8 T cells,C4orf15,79441,ENSG00000214367
CD8 T cells,CAMLG,819,ENSG00000164615
CD8 T cells,CD8A,925,ENSG00000153563
CD8 T cells,CD8B,926,ENSG00000172116
CD8 T cells,CDKN2AIP,55602,ENSG00000168564
CD8 T cells,DNAJB1,3337,ENSG00000132002
CD8 T cells,FLT3LG,2323,ENSG00000090554
CD8 T cells,GADD45A,1647,ENSG00000116717
CD8 T cells,GZMM,3004,ENSG00000197540
CD8 T cells,KLF9,687,ENSG00000119138
CD8 T cells,LEPROTL1,23484,ENSG00000104660
CD8 T cells,LIME1,54923,ENSG00000203896
CD8 T cells,MYST3,7994,ENSG00000083168
CD8 T cells,PF4,5196,ENSG00000163737
CD8 T cells,PPP1R2,5504,ENSG00000184203
CD8 T cells,PRF1,5551,ENSG00000180644
CD8 T cells,PRR5,55615,ENSG00000186654
CD8 T cells,RBM3,5935,ENSG00000102317
CD8 T cells,SF1,7536,ENSG00000168066
CD8 T cells,SFRS7,6432,ENSG00000115875
CD8 T cells,SLC16A7,9194,ENSG00000118596
